Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 13:27:25

Name:	Wood (Parallel) - Group 11B
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1008	0.0240	Inf	Inf
0.2008	0.0285	Inf	Inf
0.3007	0.0753	Inf	Inf
0.3397	0.1746	Inf	Inf
0.3580	0.2743	Inf	Inf
0.3717	0.3736	Inf	Inf
0.3824	0.4732	Inf	Inf
0.3908	0.5744	Inf	Inf
0.4007	0.6737	Inf	Inf
0.4107	0.7726	Inf	Inf
0.4244	0.8730	Inf	Inf
0.4305	0.9731	Inf	Inf
0.4381	1.0739	Inf	Inf
0.4450	1.1743	Inf	Inf
0.4504	1.2743	Inf	Inf
0.4572	1.4737	Inf	Inf
0.4580	1.3736	Inf	Inf
0.4649	1.5741	Inf	Inf
0.4725	1.6741	Inf	Inf
0.4778	1.7742	Inf	Inf
0.4794	1.8742	Inf	Inf
0.4839	1.9731	Inf	Inf
0.4847	2.0739	Inf	Inf
0.4900	2.1751	Inf	Inf
0.4908	2.2736	Inf	Inf
0.4992	2.3729	Inf	Inf
0.5015	2.4730	Inf	Inf
0.5053	2.5738	Inf	Inf
0.5084	2.6742	Inf	Inf
0.5129	2.8064	Inf	Inf
0.5168	2.9874	Inf	Inf
0.5320	3.0875	Inf	Inf
0.5374	3.2763	Inf	Inf
0.5420	3.4869	Inf	Inf
0.5473	3.5873	Inf	Inf
0.5496	3.6862	Inf	Inf
0.5511	3.7859	Inf	Inf
0.5534	3.9845	Inf	Inf
0.5549	3.8844	Inf	Inf
0.5633	4.1864	Inf	Inf
0.5664	4.0860	Inf	Inf
0.5671	4.2865	Inf	Inf
0.5732	4.6282	Inf	Inf
0.5748	4.3861	Inf	Inf
0.5778	4.5259	Inf	Inf
0.5885	4.8691	Inf	Inf
0.5916	5.1396	Inf	Inf
0.5992	5.2393	Inf	Inf
0.6023	5.4589	Inf	Inf
0.6114	5.8040	Inf	Inf
0.6129	5.5585	Inf	Inf
0.6137	5.7062	Inf	Inf
0.6206	5.9460	Inf	Inf
0.6244	6.0456	Inf	Inf
0.6274	6.1453	Inf	Inf
0.6366	6.3660	Inf	Inf
0.6389	6.5320	Inf	Inf
0.6389	6.7639	Inf	Inf
0.6427	6.6309	Inf	Inf
0.6511	7.0858	Inf	Inf
0.6580	7.1869	Inf	Inf
0.6626	7.2840	Inf	Inf
0.6641	7.3863	Inf	Inf
0.6771	7.5451	Inf	Inf
0.6801	7.6830	Inf	Inf
0.6893	8.0034	Inf	Inf
0.6923	7.8460	Inf	Inf
0.7022	8.1001	Inf	Inf
0.7129	8.3474	Inf	Inf
0.7236	8.6419	Inf	Inf
0.7267	8.7423	Inf	Inf
0.7297	8.8599	Inf	Inf
0.7374	9.1271	Inf	Inf
0.7511	9.3021	Inf	Inf
0.7549	9.5186	Inf	Inf
0.7786	9.7955	Inf	Inf
0.7923	9.9866	Inf	Inf
0.7992	10.0871	Inf	Inf
