Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 15.02.2023	Time: 13:35:55

Name:	Wood ( Perpendicular) - Group 11B
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1008	0.0910	Inf	Inf
0.1969	0.1900	Inf	Inf
0.2404	0.2893	Inf	Inf
0.2962	0.3893	Inf	Inf
0.3435	0.4893	Inf	Inf
0.3908	0.6370	Inf	Inf
0.4450	0.7550	Inf	Inf
0.4908	0.8543	Inf	Inf
0.5473	0.9693	Inf	Inf
0.6282	1.0705	Inf	Inf
0.7007	1.1705	Inf	Inf
0.8007	1.2125	Inf	Inf
0.9007	1.2058	Inf	Inf
1.0007	1.2991	Inf	Inf
1.1007	1.2796	Inf	Inf
1.2007	1.3395	Inf	Inf
1.3007	1.3103	Inf	Inf
1.4014	1.3777	Inf	Inf
1.5014	1.3598	Inf	Inf
1.6014	1.3755	Inf	Inf
1.7014	1.3598	Inf	Inf
1.8007	1.3530	Inf	Inf
1.9006	1.4051	Inf	Inf
2.0014	1.4227	Inf	Inf
2.1022	1.3792	Inf	Inf
2.2022	1.4332	Inf	Inf
2.3029	1.4111	Inf	Inf
2.4037	1.4354	Inf	Inf
2.5037	1.4452	Inf	Inf
2.6029	1.4564	Inf	Inf
2.7029	1.4429	Inf	Inf
2.8029	1.5093	Inf	Inf
2.9029	1.4538	Inf	Inf
3.0029	1.5220	Inf	Inf
3.1029	1.5302	Inf	Inf
3.2029	1.4842	Inf	Inf
3.2876	1.5831	Inf	Inf
3.3883	1.6243	Inf	Inf
3.4876	1.6085	Inf	Inf
3.5868	1.6910	Inf	Inf
3.6410	1.5879	Inf	Inf
3.7410	1.6471	Inf	Inf
3.8418	1.6704	Inf	Inf
3.9417	1.6411	Inf	Inf
4.0417	1.6337	Inf	Inf
4.1417	1.6644	Inf	Inf
4.2425	1.7165	Inf	Inf
4.3432	1.7251	Inf	Inf
4.4440	1.7243	Inf	Inf
4.5440	1.6917	Inf	Inf
4.6440	1.7348	Inf	Inf
4.7440	1.7903	Inf	Inf
4.8440	1.7554	Inf	Inf
4.9440	1.8199	Inf	Inf
5.0447	1.8113	Inf	Inf
5.1440	1.8191	Inf	Inf
5.2447	1.8345	Inf	Inf
5.3455	1.8311	Inf	Inf
5.4447	1.8562	Inf	Inf
5.5455	1.8772	Inf	Inf
5.6462	1.9401	Inf	Inf
5.7470	1.9443	Inf	Inf
5.8462	1.9390	Inf	Inf
5.9477	1.9668	Inf	Inf
6.0470	1.9862	Inf	Inf
6.1477	1.9727	Inf	Inf
6.2080	2.0724	Inf	Inf
6.3080	2.0503	Inf	Inf
6.3286	1.9461	Inf	Inf
6.3294	1.8450	Inf	Inf
6.3584	1.9435	Inf	Inf
6.4271	2.1294	Inf	Inf
6.5263	2.1530	Inf	Inf
6.6263	2.1537	Inf	Inf
6.7263	2.1582	Inf	Inf
6.8255	2.1968	Inf	Inf
6.9255	2.2575	Inf	Inf
7.0263	2.1841	Inf	Inf
7.0629	2.2849	Inf	Inf
7.1629	2.3145	Inf	Inf
7.2629	2.3006	Inf	Inf
7.3637	2.3422	Inf	Inf
7.4621	2.3958	Inf	Inf
7.5629	2.3714	Inf	Inf
7.6629	2.4673	Inf	Inf
7.7629	2.5471	Inf	Inf
7.8636	2.5966	Inf	Inf
7.9644	2.5745	Inf	Inf
8.0636	2.5067	Inf	Inf
8.1636	2.5738	Inf	Inf
8.2651	2.6247	Inf	Inf
8.3659	2.6877	Inf	Inf
8.4659	2.7701	Inf	Inf
8.5659	2.7465	Inf	Inf
8.6659	2.7914	Inf	Inf
8.7659	2.7952	Inf	Inf
8.8124	2.6929	Inf	Inf
8.8743	2.7926	Inf	Inf
8.9117	2.8926	Inf	Inf
8.9773	3.0121	Inf	Inf
9.0781	3.0455	Inf	Inf
9.1078	2.9402	Inf	Inf
9.1758	3.0391	Inf	Inf
9.2765	3.0076	Inf	Inf
9.3116	3.1077	Inf	Inf
9.4116	3.1601	Inf	Inf
9.4994	3.0586	Inf	Inf
9.5620	3.1590	Inf	Inf
9.6628	3.2152	Inf	Inf
9.7002	3.3149	Inf	Inf
9.8009	3.2823	Inf	Inf
