Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 14:53:48

Name:	Materials lab 08, aluminium tension
User Comment:	PHS, SM, IM

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.7022	0.1205	Inf	Inf
0.8012	0.1097	Inf	Inf
0.9020	0.1149	Inf	Inf
1.0040	0.1181	Inf	Inf
1.1039	0.1196	Inf	Inf
1.2037	0.1212	Inf	Inf
1.3032	0.1180	Inf	Inf
1.4031	0.1165	Inf	Inf
1.5043	0.1122	Inf	Inf
1.6054	0.1139	Inf	Inf
1.7052	0.1249	Inf	Inf
1.7611	0.2271	Inf	Inf
1.7938	0.4259	Inf	Inf
1.8175	0.6885	Inf	Inf
1.8718	1.3472	Inf	Inf
1.9187	1.8717	Inf	Inf
1.9226	1.9733	Inf	Inf
1.9749	2.8064	Inf	Inf
2.0242	3.5669	Inf	Inf
2.0473	3.7921	Inf	Inf
2.1257	4.1265	Inf	Inf
2.1587	4.2284	Inf	Inf
2.2270	4.3832	Inf	Inf
2.2720	4.4838	Inf	Inf
2.3290	4.6197	Inf	Inf
2.3803	4.7185	Inf	Inf
2.4198	4.8188	Inf	Inf
2.4822	4.9517	Inf	Inf
2.5320	5.0506	Inf	Inf
2.5709	5.1504	Inf	Inf
2.6506	5.2496	Inf	Inf
2.7308	5.3490	Inf	Inf
2.8156	5.4499	Inf	Inf
2.8973	5.5512	Inf	Inf
2.9892	5.6505	Inf	Inf
3.0901	5.7161	Inf	Inf
3.1904	5.7887	Inf	Inf
3.2914	5.8609	Inf	Inf
3.3907	5.9518	Inf	Inf
3.4912	5.9677	Inf	Inf
3.5913	5.9749	Inf	Inf
3.6915	6.0468	Inf	Inf
3.7928	6.0699	Inf	Inf
3.8930	6.1080	Inf	Inf
3.9936	6.1027	Inf	Inf
4.0944	6.1287	Inf	Inf
4.1950	6.1476	Inf	Inf
4.2882	6.0452	Inf	Inf
4.3030	6.1452	Inf	Inf
4.4036	6.1986	Inf	Inf
4.5029	6.2160	Inf	Inf
4.6029	6.2225	Inf	Inf
4.7033	6.2110	Inf	Inf
4.8044	6.2120	Inf	Inf
4.9052	6.2348	Inf	Inf
4.9715	6.1338	Inf	Inf
4.9776	6.2347	Inf	Inf
5.0766	6.2726	Inf	Inf
5.1777	6.2618	Inf	Inf
5.2783	6.2536	Inf	Inf
5.3786	6.2307	Inf	Inf
5.4795	6.2419	Inf	Inf
5.5804	6.2295	Inf	Inf
5.6804	6.2161	Inf	Inf
5.7803	6.1958	Inf	Inf
5.8810	6.1773	Inf	Inf
5.9805	6.1440	Inf	Inf
6.0685	6.0432	Inf	Inf
6.1135	6.1436	Inf	Inf
6.2121	6.0485	Inf	Inf
6.3117	6.0008	Inf	Inf
6.4121	5.9313	Inf	Inf
6.5126	5.8601	Inf	Inf
6.6126	5.8063	Inf	Inf
6.7125	5.7410	Inf	Inf
6.8127	5.6631	Inf	Inf
6.9119	5.5615	Inf	Inf
7.0111	5.4958	Inf	Inf
7.0918	5.3946	Inf	Inf
7.1928	5.2911	Inf	Inf
7.2811	5.1894	Inf	Inf
7.3588	5.0885	Inf	Inf
7.4345	4.8797	Inf	Inf
7.5427	4.5832	Inf	Inf
7.6163	4.4338	Inf	Inf
7.6937	4.2845	Inf	Inf
7.7674	4.1332	Inf	Inf
Data End	

