Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 14:50:49

Name:	group 08, steel tension
User Comment:	Phoebe Housley-Smith, Shoaib Mahmood, Imran Mahmood

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.4839	0.1860	Inf	Inf
0.5214	0.2860	Inf	Inf
0.5343	0.4326	Inf	Inf
0.5458	0.5326	Inf	Inf
0.5535	0.6341	Inf	Inf
0.5699	0.8869	Inf	Inf
0.5840	1.1548	Inf	Inf
0.5955	1.2550	Inf	Inf
0.6024	1.3546	Inf	Inf
0.6189	1.6194	Inf	Inf
0.6206	1.8447	Inf	Inf
0.6303	2.0603	Inf	Inf
0.6325	2.2010	Inf	Inf
0.6364	2.3020	Inf	Inf
0.6493	2.5675	Inf	Inf
0.6559	2.6865	Inf	Inf
0.6574	2.7874	Inf	Inf
0.6677	2.9503	Inf	Inf
0.6746	3.1976	Inf	Inf
0.6791	3.3060	Inf	Inf
0.6867	3.5405	Inf	Inf
0.7054	3.9668	Inf	Inf
0.7143	4.4031	Inf	Inf
0.7312	4.8349	Inf	Inf
0.7396	5.1255	Inf	Inf
0.7514	5.3480	Inf	Inf
0.7525	5.4463	Inf	Inf
0.7540	5.5485	Inf	Inf
0.7610	5.7210	Inf	Inf
0.7686	5.9476	Inf	Inf
0.7777	6.1864	Inf	Inf
0.7857	6.4383	Inf	Inf
0.7911	6.6996	Inf	Inf
0.7999	6.9486	Inf	Inf
0.8129	7.2415	Inf	Inf
0.8228	7.5490	Inf	Inf
0.8236	7.8243	Inf	Inf
0.8320	8.0801	Inf	Inf
0.8381	8.4064	Inf	Inf
0.8542	8.8257	Inf	Inf
0.8588	9.1054	Inf	Inf
0.8705	9.6816	Inf	Inf
0.8767	9.8677	Inf	Inf
0.8860	10.1433	Inf	Inf
0.9062	10.5181	Inf	Inf
0.9133	10.9241	Inf	Inf
0.9240	11.3893	Inf	Inf
0.9416	11.8967	Inf	Inf
1.0347	11.0854	Inf	Inf
1.0523	10.8230	Inf	Inf
1.0810	10.3669	Inf	Inf
1.1546	9.1584	Inf	Inf
1.1688	8.9006	Inf	Inf
1.1738	8.7553	Inf	Inf
1.1857	8.6535	Inf	Inf
1.1950	8.7574	Inf	Inf
1.1972	8.8575	Inf	Inf
1.2464	9.1131	Inf	Inf
1.2991	9.2589	Inf	Inf
1.3476	9.3915	Inf	Inf
1.3786	9.4915	Inf	Inf
1.4072	9.5910	Inf	Inf
1.4828	9.4842	Inf	Inf
1.5331	9.3761	Inf	Inf
1.5795	9.4761	Inf	Inf
1.6796	9.4559	Inf	Inf
1.7086	9.3479	Inf	Inf
1.8078	9.2383	Inf	Inf
1.8497	9.3376	Inf	Inf
1.8915	9.5284	Inf	Inf
1.9519	9.7950	Inf	Inf
1.9999	9.8966	Inf	Inf
2.0634	9.9949	Inf	Inf
2.1430	9.8750	Inf	Inf
2.1600	9.6471	Inf	Inf
2.2109	9.0405	Inf	Inf
2.2232	8.8692	Inf	Inf
2.2365	8.9732	Inf	Inf
2.2562	9.3384	Inf	Inf
2.3388	9.8803	Inf	Inf
2.3578	9.9924	Inf	Inf
2.3828	10.0932	Inf	Inf
2.4590	10.2678	Inf	Inf
2.5589	10.2707	Inf	Inf
2.5877	10.3697	Inf	Inf
2.6334	10.4697	Inf	Inf
2.6540	10.5679	Inf	Inf
2.7351	10.6854	Inf	Inf
2.7835	10.7858	Inf	Inf
2.8664	10.8853	Inf	Inf
2.9663	10.9701	Inf	Inf
3.0332	10.8610	Inf	Inf
3.0395	10.7220	Inf	Inf
3.0504	10.8202	Inf	Inf
3.1405	11.1930	Inf	Inf
3.2367	11.2938	Inf	Inf
3.3362	11.3482	Inf	Inf
3.4363	11.3967	Inf	Inf
3.5362	11.4562	Inf	Inf
3.6376	11.5543	Inf	Inf
3.7227	11.4451	Inf	Inf
3.7282	11.3405	Inf	Inf
3.7340	11.2376	Inf	Inf
3.7414	11.3333	Inf	Inf
3.8375	11.7284	Inf	Inf
3.9367	11.8024	Inf	Inf
4.0373	11.7927	Inf	Inf
4.1380	11.8413	Inf	Inf
4.2371	11.9005	Inf	Inf
4.3370	11.9687	Inf	Inf
4.4374	11.9183	Inf	Inf
4.4419	11.8101	Inf	Inf
4.4496	11.7058	Inf	Inf
4.4575	11.6014	Inf	Inf
4.4644	11.7013	Inf	Inf
4.4726	11.8316	Inf	Inf
4.5682	12.1183	Inf	Inf
4.6691	12.1640	Inf	Inf
4.7713	12.2111	Inf	Inf
4.8698	12.2335	Inf	Inf
4.9715	12.2640	Inf	Inf
5.0736	12.3143	Inf	Inf
5.1744	12.2360	Inf	Inf
5.1874	12.0216	Inf	Inf
5.1885	12.1246	Inf	Inf
5.1949	11.8974	Inf	Inf
