Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 14:36:59

Name:	group 08 wood against grain
User Comment:	IM, PHS, SM

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0827	0.1003	Inf	Inf
0.1826	0.1277	Inf	Inf
0.2832	0.1501	Inf	Inf
0.3833	0.1624	Inf	Inf
0.4827	0.1616	Inf	Inf
0.5830	0.1699	Inf	Inf
0.6833	0.1817	Inf	Inf
0.7833	0.2448	Inf	Inf
0.8394	0.3446	Inf	Inf
0.8803	0.4439	Inf	Inf
0.9068	0.5439	Inf	Inf
0.9374	0.6444	Inf	Inf
0.9580	0.7442	Inf	Inf
0.9919	0.8444	Inf	Inf
1.0224	0.9439	Inf	Inf
1.0635	1.0444	Inf	Inf
1.0913	1.1450	Inf	Inf
1.1913	1.2370	Inf	Inf
1.2915	1.2427	Inf	Inf
1.3908	1.3127	Inf	Inf
1.4905	1.2707	Inf	Inf
1.5910	1.2941	Inf	Inf
1.6913	1.2502	Inf	Inf
1.7603	1.3501	Inf	Inf
1.8605	1.3945	Inf	Inf
1.9596	1.4483	Inf	Inf
2.0604	1.4551	Inf	Inf
2.1607	1.4673	Inf	Inf
2.2614	1.5453	Inf	Inf
2.3610	1.5627	Inf	Inf
2.4604	1.6068	Inf	Inf
2.5609	1.6026	Inf	Inf
2.6611	1.6752	Inf	Inf
2.7604	1.7355	Inf	Inf
2.8600	1.7778	Inf	Inf
2.9604	1.8084	Inf	Inf
3.0609	1.7984	Inf	Inf
3.1614	1.7615	Inf	Inf
3.2609	1.8299	Inf	Inf
3.3602	1.8882	Inf	Inf
3.4606	1.8408	Inf	Inf
3.5602	1.9142	Inf	Inf
3.6598	1.9199	Inf	Inf
3.7599	1.9893	Inf	Inf
3.8373	1.8883	Inf	Inf
3.8467	1.7874	Inf	Inf
3.8740	1.8866	Inf	Inf
3.8978	1.9851	Inf	Inf
3.9985	2.0571	Inf	Inf
4.0989	2.0916	Inf	Inf
4.1998	2.1087	Inf	Inf
4.3002	2.1088	Inf	Inf
4.4000	2.1138	Inf	Inf
4.4996	2.1636	Inf	Inf
4.5993	2.2094	Inf	Inf
4.6982	2.2629	Inf	Inf
4.7975	2.2543	Inf	Inf
4.8873	2.3539	Inf	Inf
4.9881	2.2910	Inf	Inf
5.0882	2.3168	Inf	Inf
5.1878	2.3497	Inf	Inf
5.2879	2.3797	Inf	Inf
5.3880	2.4163	Inf	Inf
5.4884	2.4604	Inf	Inf
5.5889	2.5312	Inf	Inf
5.6885	2.5684	Inf	Inf
5.7885	2.5433	Inf	Inf
5.8887	2.5838	Inf	Inf
5.9887	2.6233	Inf	Inf
6.0884	2.6176	Inf	Inf
6.1882	2.6879	Inf	Inf
6.2886	2.7378	Inf	Inf
6.3893	2.7920	Inf	Inf
6.4692	2.6905	Inf	Inf
6.5696	2.7125	Inf	Inf
6.6701	2.7895	Inf	Inf
6.7704	2.8148	Inf	Inf
6.8401	2.9152	Inf	Inf
6.9399	2.9326	Inf	Inf
6.9963	3.0330	Inf	Inf
7.0333	3.1332	Inf	Inf
7.1272	3.0308	Inf	Inf
7.1854	3.1310	Inf	Inf
7.2855	3.2127	Inf	Inf
7.3782	3.3127	Inf	Inf
7.4775	3.3391	Inf	Inf
7.5353	3.4396	Inf	Inf
7.6358	3.4288	Inf	Inf
7.6906	3.5285	Inf	Inf
7.7253	3.6289	Inf	Inf
7.8247	3.6747	Inf	Inf
7.9243	3.7108	Inf	Inf
8.0059	3.8118	Inf	Inf
8.0634	3.7083	Inf	Inf
8.0686	3.5609	Inf	Inf
8.0967	3.6598	Inf	Inf
8.1159	3.7593	Inf	Inf
8.1945	3.8595	Inf	Inf
8.2281	3.9574	Inf	Inf
8.3282	3.9267	Inf	Inf
8.3612	4.0298	Inf	Inf
8.4423	4.1249	Inf	Inf
8.4614	4.2199	Inf	Inf
8.5606	4.2500	Inf	Inf
8.6604	4.2167	Inf	Inf
8.7604	4.2741	Inf	Inf
8.8233	4.3725	Inf	Inf
8.9235	4.3887	Inf	Inf
8.9726	4.4896	Inf	Inf
9.0266	4.6801	Inf	Inf
9.0881	4.5714	Inf	Inf
9.1887	4.6129	Inf	Inf
9.2234	4.7114	Inf	Inf
9.3013	4.6044	Inf	Inf
9.3117	4.4726	Inf	Inf
9.3210	4.3409	Inf	Inf
9.3256	4.2392	Inf	Inf
9.3479	4.3336	Inf	Inf
9.3964	4.7769	Inf	Inf
9.4507	4.9510	Inf	Inf
9.5505	5.0293	Inf	Inf
9.6498	5.0540	Inf	Inf
9.7510	5.0828	Inf	Inf
9.8419	5.1840	Inf	Inf
9.9426	5.2782	Inf	Inf
9.9777	5.1646	Inf	Inf
10.0194	5.2637	Inf	Inf
10.0886	5.3611	Inf	Inf
10.1690	5.4622	Inf	Inf
10.2693	5.4774	Inf	Inf
10.3671	5.5772	Inf	Inf
10.4006	5.6740	Inf	Inf
10.4165	5.7731	Inf	Inf
10.5027	5.9561	Inf	Inf
10.5364	5.8454	Inf	Inf
10.5417	5.7401	Inf	Inf
10.5613	5.3694	Inf	Inf
10.5796	5.2303	Inf	Inf
10.5836	5.1287	Inf	Inf
10.6000	5.2308	Inf	Inf
10.6081	5.3618	Inf	Inf
10.6582	5.8220	Inf	Inf
10.7101	6.0767	Inf	Inf
10.8057	6.1768	Inf	Inf
10.9058	6.2597	Inf	Inf
10.9995	6.3596	Inf	Inf
11.0999	6.2915	Inf	Inf
11.1305	6.3897	Inf	Inf
11.1905	6.6349	Inf	Inf
11.2326	6.7335	Inf	Inf
11.2712	6.8339	Inf	Inf
11.3346	7.0467	Inf	Inf
11.4272	6.9397	Inf	Inf
11.4355	6.8337	Inf	Inf
