Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 14:30:21

Name:	Group 08- Wood 
User Comment:	Imran Mahmood, Phoebe Housley Smith, Shoaib Mahmood

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0925	Inf	Inf
0.2000	0.1019	Inf	Inf
0.3000	0.1308	Inf	Inf
0.4000	0.2121	Inf	Inf
0.4259	0.3125	Inf	Inf
0.4481	0.4133	Inf	Inf
0.4656	0.5141	Inf	Inf
0.4855	0.6130	Inf	Inf
0.4992	0.7127	Inf	Inf
0.5114	0.8123	Inf	Inf
0.5213	0.9124	Inf	Inf
0.5320	1.0124	Inf	Inf
0.5358	1.1125	Inf	Inf
0.5442	1.2121	Inf	Inf
0.5503	1.3110	Inf	Inf
0.5587	1.4103	Inf	Inf
0.5694	1.5119	Inf	Inf
0.5816	1.6554	Inf	Inf
0.5961	1.8236	Inf	Inf
0.6114	1.9233	Inf	Inf
0.6236	2.0233	Inf	Inf
0.6358	2.1196	Inf	Inf
0.6465	2.4718	Inf	Inf
0.6702	3.0013	Inf	Inf
0.6939	3.3595	Inf	Inf
0.7000	3.6150	Inf	Inf
0.7114	3.8623	Inf	Inf
0.7282	4.2408	Inf	Inf
0.7396	4.4251	Inf	Inf
0.7473	4.6248	Inf	Inf
0.7488	4.5248	Inf	Inf
0.7557	4.8253	Inf	Inf
0.7580	4.7245	Inf	Inf
0.7648	4.9242	Inf	Inf
0.7679	5.0935	Inf	Inf
0.7717	5.2119	Inf	Inf
0.7824	5.1115	Inf	Inf
0.7862	5.0092	Inf	Inf
0.7877	4.9066	Inf	Inf
0.7916	5.0066	Inf	Inf
0.7923	5.1070	Inf	Inf
0.7954	5.2086	Inf	Inf
0.7992	5.3094	Inf	Inf
0.8007	5.4102	Inf	Inf
0.8083	5.5098	Inf	Inf
0.8190	5.7110	Inf	Inf
0.8206	5.8115	Inf	Inf
0.8229	5.9119	Inf	Inf
0.8358	6.0123	Inf	Inf
0.8389	6.1123	Inf	Inf
0.8457	6.2124	Inf	Inf
0.8488	6.3120	Inf	Inf
0.8519	6.4125	Inf	Inf
0.8541	6.5133	Inf	Inf
0.8557	6.3094	Inf	Inf
0.8603	6.3045	Inf	Inf
0.8625	6.4387	Inf	Inf
0.8664	6.2071	Inf	Inf
0.8679	6.5447	Inf	Inf
0.8725	6.6448	Inf	Inf
0.8824	6.8434	Inf	Inf
0.8839	6.7441	Inf	Inf
0.8938	6.9441	Inf	Inf
0.8977	7.0434	Inf	Inf
0.9053	7.1435	Inf	Inf
0.9290	7.2428	Inf	Inf
0.9381	7.3436	Inf	Inf
0.9488	7.4436	Inf	Inf
0.9557	7.5437	Inf	Inf
0.9618	7.6441	Inf	Inf
0.9770	7.7452	Inf	Inf
0.9961	7.8453	Inf	Inf
1.0022	7.9457	Inf	Inf
