Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 10:37:30

Name:	Alluminium
User Comment:	Finn

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0076	0.0974	Inf	Inf
0.0275	0.3687	Inf	Inf
0.0840	1.0772	Inf	Inf
0.1282	1.7401	Inf	Inf
0.1298	1.8424	Inf	Inf
0.1443	2.1354	Inf	Inf
0.1496	2.2362	Inf	Inf
0.1527	2.3684	Inf	Inf
0.2534	3.7694	Inf	Inf
0.2687	3.8713	Inf	Inf
0.2923	3.9713	Inf	Inf
0.3702	4.2224	Inf	Inf
0.4091	4.3239	Inf	Inf
0.4549	4.4262	Inf	Inf
0.5137	4.5783	Inf	Inf
0.5633	4.6765	Inf	Inf
0.6145	4.7743	Inf	Inf
0.6664	4.8747	Inf	Inf
0.7251	4.9714	Inf	Inf
0.7717	5.0722	Inf	Inf
0.8519	5.1711	Inf	Inf
0.9236	5.2723	Inf	Inf
0.9992	5.3719	Inf	Inf
1.0954	5.4712	Inf	Inf
1.1961	5.5574	Inf	Inf
1.2976	5.6496	Inf	Inf
1.3976	5.7013	Inf	Inf
1.4572	5.8017	Inf	Inf
1.5572	5.8796	Inf	Inf
1.6564	5.8834	Inf	Inf
1.7571	5.9463	Inf	Inf
1.8579	5.9902	Inf	Inf
1.9594	6.0262	Inf	Inf
2.0602	6.0340	Inf	Inf
2.1602	6.0595	Inf	Inf
2.2617	6.0756	Inf	Inf
2.3617	6.1097	Inf	Inf
2.4197	6.0085	Inf	Inf
2.4258	6.1093	Inf	Inf
2.5258	6.1813	Inf	Inf
2.6258	6.1772	Inf	Inf
2.7250	6.1749	Inf	Inf
2.8258	6.1588	Inf	Inf
2.9258	6.1978	Inf	Inf
3.0265	6.2105	Inf	Inf
3.1265	6.1498	Inf	Inf
3.1479	6.2498	Inf	Inf
3.2487	6.2296	Inf	Inf
3.3494	6.2281	Inf	Inf
3.4502	6.2337	Inf	Inf
3.5494	6.2461	Inf	Inf
3.6502	6.2540	Inf	Inf
3.7509	6.2322	Inf	Inf
3.8509	6.2180	Inf	Inf
3.9517	6.2349	Inf	Inf
4.0524	6.2262	Inf	Inf
4.1532	6.2191	Inf	Inf
4.2524	6.1951	Inf	Inf
4.3539	6.1614	Inf	Inf
4.4471	6.0591	Inf	Inf
4.5478	6.1026	Inf	Inf
4.6478	6.0550	Inf	Inf
4.7486	6.0205	Inf	Inf
4.8486	5.9718	Inf	Inf
4.9486	5.9074	Inf	Inf
5.0493	5.8433	Inf	Inf
5.1501	5.7676	Inf	Inf
5.2493	5.6878	Inf	Inf
5.3516	5.6080	Inf	Inf
5.4516	5.5050	Inf	Inf
5.5508	5.4203	Inf	Inf
5.6371	5.3161	Inf	Inf
5.7058	5.2146	Inf	Inf
5.8058	5.1183	Inf	Inf
5.8783	5.0111	Inf	Inf
5.9080	4.9070	Inf	Inf
5.9806	4.6896	Inf	Inf
6.0462	4.5431	Inf	Inf
6.1218	4.3940	Inf	Inf
6.2011	4.2434	Inf	Inf
6.2790	4.0931	Inf	Inf
6.3561	3.9432	Inf	Inf
6.4271	3.7922	Inf	Inf
Data End	

