Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 10:33:29

Name:	Steel
User Comment:	Jake Waller

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0061	0.0997	Inf	Inf
0.0389	0.6553	Inf	Inf
0.0885	2.0526	Inf	Inf
0.1328	3.2913	Inf	Inf
0.1916	5.1771	Inf	Inf
0.1969	5.3255	Inf	Inf
0.2320	6.8314	Inf	Inf
0.2710	8.3365	Inf	Inf
0.3275	10.0545	Inf	Inf
0.3733	10.7128	Inf	Inf
0.4252	10.3055	Inf	Inf
0.4847	9.7067	Inf	Inf
0.5328	9.4194	Inf	Inf
0.5900	9.1447	Inf	Inf
0.6419	9.0304	Inf	Inf
0.7404	8.9825	Inf	Inf
0.7961	8.8746	Inf	Inf
0.8969	8.8820	Inf	Inf
0.9969	8.8862	Inf	Inf
1.0969	8.7487	Inf	Inf
1.1976	8.8450	Inf	Inf
1.2358	8.9450	Inf	Inf
1.3350	8.9615	Inf	Inf
1.4350	8.9559	Inf	Inf
1.4991	9.0548	Inf	Inf
1.5404	9.1541	Inf	Inf
1.5610	9.2541	Inf	Inf
1.6419	9.4070	Inf	Inf
1.6701	9.5052	Inf	Inf
1.7487	9.6071	Inf	Inf
1.7671	9.7071	Inf	Inf
1.8625	9.8090	Inf	Inf
1.8823	9.9121	Inf	Inf
1.9823	9.9938	Inf	Inf
2.0441	10.0930	Inf	Inf
2.1060	10.1935	Inf	Inf
2.1930	10.0915	Inf	Inf
2.2037	10.1983	Inf	Inf
2.2976	10.4786	Inf	Inf
2.3174	10.3636	Inf	Inf
2.3441	10.4636	Inf	Inf
2.4136	10.5622	Inf	Inf
2.4602	10.6618	Inf	Inf
2.5304	10.7611	Inf	Inf
2.6311	10.8398	Inf	Inf
2.7311	10.8728	Inf	Inf
2.7846	10.9736	Inf	Inf
2.8838	11.0612	Inf	Inf
2.9838	11.0860	Inf	Inf
3.0830	11.1253	Inf	Inf
3.1326	11.2254	Inf	Inf
3.1731	11.1219	Inf	Inf
3.2013	11.2231	Inf	Inf
3.2807	11.3254	Inf	Inf
3.3799	11.3573	Inf	Inf
3.4807	11.4018	Inf	Inf
3.5662	11.5015	Inf	Inf
3.6654	11.5513	Inf	Inf
3.7654	11.5004	Inf	Inf
3.7952	11.6012	Inf	Inf
3.8952	11.5611	Inf	Inf
3.9303	11.6641	Inf	Inf
4.0303	11.5693	Inf	Inf
4.0517	11.6690	Inf	Inf
4.1524	11.7679	Inf	Inf
4.2150	11.6645	Inf	Inf
4.2356	11.4933	Inf	Inf
4.2425	11.5986	Inf	Inf
4.3402	11.8556	Inf	Inf
4.4402	11.8987	Inf	Inf
4.5402	11.8725	Inf	Inf
4.6303	11.9710	Inf	Inf
4.7287	11.9912	Inf	Inf
4.8287	12.0066	Inf	Inf
4.9287	11.9946	Inf	Inf
