Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 10:48:53

Name:	Wood perpendicular
User Comment:	Alex Bienek

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0313	0.0809	Inf	Inf
0.0695	0.0637	Inf	Inf
0.1015	0.0918	Inf	Inf
0.1305	0.1326	Inf	Inf
0.1695	0.0146	Inf	Inf
0.1931	0.2319	Inf	Inf
0.2030	0.0858	Inf	Inf
0.2298	0.3320	Inf	Inf
0.2756	0.4305	Inf	Inf
0.3168	0.5306	Inf	Inf
0.3450	0.6299	Inf	Inf
0.4068	0.8000	Inf	Inf
0.4542	0.8966	Inf	Inf
0.5084	1.0158	Inf	Inf
0.5786	1.1155	Inf	Inf
0.6618	1.2166	Inf	Inf
0.7618	1.2725	Inf	Inf
0.8625	1.3013	Inf	Inf
0.9625	1.3017	Inf	Inf
1.0457	1.1986	Inf	Inf
1.1442	1.2991	Inf	Inf
1.2450	1.3006	Inf	Inf
1.3442	1.3163	Inf	Inf
1.4449	1.3204	Inf	Inf
1.5442	1.3197	Inf	Inf
1.6442	1.3137	Inf	Inf
1.7434	1.3279	Inf	Inf
1.8442	1.3440	Inf	Inf
1.9457	1.3489	Inf	Inf
2.0457	1.3354	Inf	Inf
2.1457	1.3684	Inf	Inf
2.2449	1.3822	Inf	Inf
2.3457	1.3635	Inf	Inf
2.4457	1.3811	Inf	Inf
2.5456	1.4081	Inf	Inf
2.6456	1.4302	Inf	Inf
2.7479	1.4579	Inf	Inf
2.8464	1.4478	Inf	Inf
2.9456	1.4448	Inf	Inf
3.0449	1.3837	Inf	Inf
3.1456	1.4643	Inf	Inf
3.2464	1.4834	Inf	Inf
3.3471	1.4976	Inf	Inf
3.4479	1.4976	Inf	Inf
3.5471	1.5396	Inf	Inf
3.6463	1.5595	Inf	Inf
3.7463	1.5711	Inf	Inf
3.8463	1.5838	Inf	Inf
3.9456	1.5966	Inf	Inf
