Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 10:56:31

Name:	Wood Parallel
User Comment:	rodrigo gea

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1008	0.0573	Inf	Inf
0.1870	0.1592	Inf	Inf
0.2351	0.2574	Inf	Inf
0.2901	0.4013	Inf	Inf
0.3313	0.5197	Inf	Inf
0.3939	0.7381	Inf	Inf
0.4343	0.8547	Inf	Inf
0.4992	1.0431	Inf	Inf
0.5389	1.1409	Inf	Inf
0.6030	1.2859	Inf	Inf
0.6542	1.3871	Inf	Inf
0.7175	1.4875	Inf	Inf
0.8083	1.5857	Inf	Inf
0.9076	1.6685	Inf	Inf
1.0060	1.7105	Inf	Inf
1.1083	1.7895	Inf	Inf
1.2091	1.7835	Inf	Inf
1.3091	1.8120	Inf	Inf
1.4098	1.8379	Inf	Inf
1.5098	1.8521	Inf	Inf
1.6091	1.8469	Inf	Inf
1.7083	1.8558	Inf	Inf
1.8098	1.8798	Inf	Inf
1.9113	1.8821	Inf	Inf
2.0106	1.8974	Inf	Inf
2.0747	1.7940	Inf	Inf
2.1747	1.8648	Inf	Inf
2.2754	1.9090	Inf	Inf
2.3747	1.8802	Inf	Inf
2.4754	1.8611	Inf	Inf
2.5769	1.8843	Inf	Inf
2.6769	1.9244	Inf	Inf
2.7777	1.8794	Inf	Inf
2.8785	1.9263	Inf	Inf
2.9792	1.9420	Inf	Inf
3.0800	1.9420	Inf	Inf
3.1792	1.9596	Inf	Inf
3.2807	2.0008	Inf	Inf
3.3792	2.0098	Inf	Inf
3.4807	2.0181	Inf	Inf
3.5799	2.0732	Inf	Inf
3.6799	2.0735	Inf	Inf
3.7792	2.0747	Inf	Inf
3.8784	2.0926	Inf	Inf
3.9791	2.0975	Inf	Inf
4.0784	2.1459	Inf	Inf
4.1784	2.1657	Inf	Inf
4.2158	2.0612	Inf	Inf
4.3158	2.0968	Inf	Inf
4.4150	2.1376	Inf	Inf
4.5142	2.1016	Inf	Inf
4.6142	2.1758	Inf	Inf
4.7150	2.2193	Inf	Inf
4.8157	2.2219	Inf	Inf
4.9157	2.2373	Inf	Inf
5.0157	2.2388	Inf	Inf
5.1157	2.2508	Inf	Inf
5.2165	2.2425	Inf	Inf
5.3172	2.2268	Inf	Inf
5.4180	2.2807	Inf	Inf
5.5172	2.3201	Inf	Inf
5.6187	2.2939	Inf	Inf
5.7195	2.3482	Inf	Inf
5.8187	2.3486	Inf	Inf
5.9202	2.3800	Inf	Inf
6.0187	2.4235	Inf	Inf
6.1202	2.4183	Inf	Inf
6.2202	2.4565	Inf	Inf
6.3187	2.4606	Inf	Inf
6.4202	2.4216	Inf	Inf
6.5210	2.4760	Inf	Inf
6.6217	2.4917	Inf	Inf
6.7217	2.4299	Inf	Inf
6.8210	2.4400	Inf	Inf
6.8858	2.5397	Inf	Inf
6.9820	2.6408	Inf	Inf
7.0820	2.6461	Inf	Inf
7.1820	2.6389	Inf	Inf
7.2820	2.6566	Inf	Inf
7.3820	2.6727	Inf	Inf
7.4812	2.7270	Inf	Inf
7.5820	2.7517	Inf	Inf
7.6820	2.6682	Inf	Inf
7.7324	2.7663	Inf	Inf
7.7942	2.8664	Inf	Inf
7.8949	2.8967	Inf	Inf
7.9949	2.9042	Inf	Inf
8.0957	2.9069	Inf	Inf
8.1949	2.9987	Inf	Inf
8.2941	2.9529	Inf	Inf
8.3926	3.0534	Inf	Inf
8.4934	3.1452	Inf	Inf
8.5941	3.1616	Inf	Inf
8.6949	3.1890	Inf	Inf
8.7575	3.2875	Inf	Inf
8.8575	3.3168	Inf	Inf
8.9590	3.3992	Inf	Inf
9.0590	3.4704	Inf	Inf
9.1582	3.4917	Inf	Inf
9.2590	3.5412	Inf	Inf
9.3002	3.4374	Inf	Inf
9.3773	3.5352	Inf	Inf
9.4048	3.6476	Inf	Inf
9.4681	3.7473	Inf	Inf
9.5674	3.8346	Inf	Inf
9.6605	3.9358	Inf	Inf
9.7139	4.0369	Inf	Inf
9.7849	4.1388	Inf	Inf
9.8849	4.1696	Inf	Inf
9.9788	4.2655	Inf	Inf
10.0070	4.3655	Inf	Inf
10.0933	4.4667	Inf	Inf
10.1940	4.5120	Inf	Inf
10.2146	4.6128	Inf	Inf
10.3154	4.5619	Inf	Inf
10.3261	4.6634	Inf	Inf
10.4169	5.1310	Inf	Inf
10.4826	5.2296	Inf	Inf
10.5406	5.3285	Inf	Inf
10.6306	5.4274	Inf	Inf
10.6535	5.5248	Inf	Inf
10.6932	5.7395	Inf	Inf
10.7551	5.9508	Inf	Inf
10.8001	6.1254	Inf	Inf
10.8596	6.3712	Inf	Inf
10.9444	6.4657	Inf	Inf
10.9627	6.5668	Inf	Inf
11.0459	6.9453	Inf	Inf
11.0810	7.0476	Inf	Inf
11.1489	7.2821	Inf	Inf
11.1818	7.3979	Inf	Inf
11.1947	7.2787	Inf	Inf
11.2108	6.8332	Inf	Inf
11.2428	6.9464	Inf	Inf
11.3123	7.9783	Inf	Inf
11.3459	8.5441	Inf	Inf
11.4153	8.9832	Inf	Inf
11.4474	9.1942	Inf	Inf
11.5184	9.8502	Inf	Inf
11.5504	10.2650	Inf	Inf
11.6184	10.8057	Inf	Inf
11.6535	11.0957	Inf	Inf
11.7207	11.7241	Inf	Inf
11.7550	11.9688	Inf	Inf
11.8138	12.0680	Inf	Inf
11.8581	12.6215	Inf	Inf
11.9031	13.0066	Inf	Inf
11.9428	12.8084	Inf	Inf
11.9588	12.4056	Inf	Inf
11.9901	12.4956	Inf	Inf
12.0023	13.2528	Inf	Inf
12.0748	15.5077	Inf	Inf
12.1031	16.1765	Inf	Inf
12.1680	17.2433	Inf	Inf
12.2061	17.9027	Inf	Inf
12.2412	18.5727	Inf	Inf
12.3076	19.2040	Inf	Inf
12.3153	19.3449	Inf	Inf
12.3657	20.1179	Inf	Inf
12.4099	20.5990	Inf	Inf
12.4260	20.2412	Inf	Inf
12.4344	19.9920	Inf	Inf
12.4412	19.8077	Inf	Inf
12.4496	19.6615	Inf	Inf
12.4511	19.4356	Inf	Inf
12.4519	19.3348	Inf	Inf
12.4550	19.5457	Inf	Inf
12.4580	19.2336	Inf	Inf
