Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 15:40:59

Name:	Aluminium
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0031	0.1018	Inf	Inf
0.0382	0.3806	Inf	Inf
0.0558	0.4957	Inf	Inf
0.0568	0.5952	Inf	Inf
0.0933	1.1614	Inf	Inf
0.1516	2.1042	Inf	Inf
0.1918	2.8689	Inf	Inf
0.2129	3.3530	Inf	Inf
0.2922	4.0123	Inf	Inf
0.3217	4.1128	Inf	Inf
0.3915	4.3045	Inf	Inf
0.4292	4.4074	Inf	Inf
0.4570	4.5065	Inf	Inf
0.5308	4.6665	Inf	Inf
0.5716	4.7656	Inf	Inf
0.6332	4.9062	Inf	Inf
0.6887	5.0055	Inf	Inf
0.7544	5.1038	Inf	Inf
0.7914	5.2206	Inf	Inf
0.8686	5.3226	Inf	Inf
0.9448	5.4241	Inf	Inf
1.0257	5.5246	Inf	Inf
1.1059	5.6248	Inf	Inf
1.2052	5.7084	Inf	Inf
1.3052	5.7822	Inf	Inf
1.4049	5.8368	Inf	Inf
1.5058	5.9100	Inf	Inf
1.6055	5.9664	Inf	Inf
1.7052	6.0097	Inf	Inf
1.8055	6.0560	Inf	Inf
1.9040	6.0623	Inf	Inf
2.0044	6.1030	Inf	Inf
2.1045	6.1146	Inf	Inf
2.2053	6.1682	Inf	Inf
2.3067	6.1583	Inf	Inf
2.4063	6.1539	Inf	Inf
2.5048	6.2251	Inf	Inf
2.6066	6.2242	Inf	Inf
2.7071	6.2153	Inf	Inf
2.8064	6.2157	Inf	Inf
2.9068	6.2331	Inf	Inf
3.0067	6.2375	Inf	Inf
3.1073	6.2426	Inf	Inf
3.2073	6.2497	Inf	Inf
3.3074	6.2504	Inf	Inf
3.4086	6.2533	Inf	Inf
3.5078	6.2431	Inf	Inf
3.6074	6.2169	Inf	Inf
3.7067	6.2477	Inf	Inf
3.8056	6.2377	Inf	Inf
3.9063	6.2263	Inf	Inf
4.0052	6.2163	Inf	Inf
4.1059	6.1871	Inf	Inf
4.2066	6.1664	Inf	Inf
4.3088	6.1346	Inf	Inf
4.4097	6.0978	Inf	Inf
4.5111	6.0535	Inf	Inf
4.6112	5.9984	Inf	Inf
4.7116	5.9550	Inf	Inf
4.8130	5.8855	Inf	Inf
4.9115	5.8217	Inf	Inf
5.0128	5.7477	Inf	Inf
5.1135	5.6713	Inf	Inf
5.2126	5.5922	Inf	Inf
5.3117	5.4969	Inf	Inf
5.4103	5.3995	Inf	Inf
5.4876	5.2963	Inf	Inf
5.5683	5.1898	Inf	Inf
5.6451	5.0843	Inf	Inf
5.7213	4.9770	Inf	Inf
5.8009	4.7405	Inf	Inf
5.9358	4.4212	Inf	Inf
6.0164	4.2634	Inf	Inf
Data End	

