Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 15:33:05

Name:	Group 34: Steel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0038	0.0990	-Inf	Inf
0.0064	0.1996	Inf	Inf
0.0146	0.2996	Inf	Inf
0.0166	0.3997	Inf	Inf
0.0260	0.4997	Inf	Inf
0.0374	0.5987	Inf	Inf
0.0377	0.6980	Inf	Inf
0.0451	0.7992	Inf	Inf
0.0509	0.8994	Inf	Inf
0.0537	1.0374	Inf	Inf
0.0624	1.1858	Inf	Inf
0.0673	1.4072	Inf	Inf
0.0728	1.7869	Inf	Inf
0.0736	1.6160	Inf	Inf
0.0756	1.9040	Inf	Inf
0.0863	2.0396	Inf	Inf
0.0917	2.3294	Inf	Inf
0.1039	2.5660	Inf	Inf
0.1060	2.7818	Inf	Inf
0.1067	2.8820	Inf	Inf
0.1128	2.9842	Inf	Inf
0.1273	3.2607	Inf	Inf
0.1391	3.5888	Inf	Inf
0.1454	3.8592	Inf	Inf
0.1620	4.2520	Inf	Inf
0.1651	4.5979	Inf	Inf
0.1768	4.8910	Inf	Inf
0.1801	5.1687	Inf	Inf
0.1839	5.2696	Inf	Inf
0.1905	5.3850	Inf	Inf
0.1959	5.7020	Inf	Inf
0.2035	6.0268	Inf	Inf
0.2109	6.3699	Inf	Inf
0.2155	6.6268	Inf	Inf
0.2267	7.2251	Inf	Inf
0.2315	6.9709	Inf	Inf
0.2371	7.4740	Inf	Inf
0.2399	7.5762	Inf	Inf
0.2522	7.7485	Inf	Inf
0.2539	8.0173	Inf	Inf
0.2624	8.3420	Inf	Inf
0.2738	8.6289	Inf	Inf
0.2751	8.8523	Inf	Inf
0.2802	9.0637	Inf	Inf
0.2967	8.9613	Inf	Inf
0.3034	8.8594	Inf	Inf
0.3113	8.9592	Inf	Inf
0.3592	9.0591	Inf	Inf
0.3851	9.1593	Inf	Inf
0.3996	9.2576	Inf	Inf
0.4414	9.3566	Inf	Inf
0.5285	9.2490	Inf	Inf
0.5347	8.9914	Inf	Inf
0.5431	8.8585	Inf	Inf
0.5530	8.9602	Inf	Inf
0.5802	9.1822	Inf	Inf
0.5910	8.9033	Inf	Inf
0.6198	9.0057	Inf	Inf
0.6401	9.1649	Inf	Inf
0.6860	9.4705	Inf	Inf
0.7394	9.7178	Inf	Inf
0.7874	9.8236	Inf	Inf
0.8105	9.9247	Inf	Inf
0.8613	9.6751	Inf	Inf
0.9045	8.9778	Inf	Inf
0.9126	8.8441	Inf	Inf
0.9221	8.9377	Inf	Inf
0.9457	9.1867	Inf	Inf
0.9866	9.5295	Inf	Inf
1.0227	9.1769	Inf	Inf
1.0940	9.2782	Inf	Inf
1.1128	9.4273	Inf	Inf
1.2122	9.4390	Inf	Inf
1.2631	9.5419	Inf	Inf
1.3124	9.6396	Inf	Inf
1.3437	9.7795	Inf	Inf
1.3855	9.6254	Inf	Inf
1.4191	9.7293	Inf	Inf
1.4753	9.6269	Inf	Inf
1.4906	9.7268	Inf	Inf
1.5235	9.8261	Inf	Inf
1.5677	9.5427	Inf	Inf
1.6262	9.3090	Inf	Inf
1.6504	9.4072	Inf	Inf
1.6821	9.6087	Inf	Inf
1.7294	9.7210	Inf	Inf
1.7547	9.8465	Inf	Inf
1.7946	9.9474	Inf	Inf
1.8385	10.0466	Inf	Inf
1.8680	10.1657	Inf	Inf
1.9276	10.3064	Inf	Inf
2.0196	10.4064	Inf	Inf
2.1127	10.5065	Inf	Inf
2.1672	10.6060	Inf	Inf
2.2126	10.5043	Inf	Inf
2.2277	10.6086	Inf	Inf
2.2586	10.7087	Inf	Inf
2.3065	10.6053	Inf	Inf
2.3247	10.7065	Inf	Inf
2.3457	10.8096	Inf	Inf
2.4464	10.8355	Inf	Inf
