Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 15:57:08

Name:	Wood (parallel)
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0993	0.0135	Inf	Inf
0.1981	0.0065	Inf	Inf
0.2985	0.0102	Inf	Inf
0.3986	0.0056	Inf	Inf
0.4992	0.0053	Inf	Inf
0.5993	0.0068	Inf	Inf
0.6992	0.0349	Inf	Inf
0.7812	0.1352	Inf	Inf
0.8196	0.2371	Inf	Inf
0.8510	0.4437	Inf	Inf
0.9147	0.9854	Inf	Inf
0.9521	1.5820	Inf	Inf
0.9589	1.7048	Inf	Inf
1.0191	2.6837	Inf	Inf
1.0484	3.2939	Inf	Inf
1.0858	3.7124	Inf	Inf
1.1042	4.0562	Inf	Inf
1.1385	4.4770	Inf	Inf
1.2022	5.1377	Inf	Inf
1.2402	5.5206	Inf	Inf
1.2552	5.6709	Inf	Inf
1.3107	6.2780	Inf	Inf
1.3556	6.6636	Inf	Inf
1.3665	6.7684	Inf	Inf
1.4139	7.1468	Inf	Inf
1.4574	7.4622	Inf	Inf
1.4908	7.9140	Inf	Inf
1.5496	8.0201	Inf	Inf
1.5581	8.2055	Inf	Inf
1.6144	8.7914	Inf	Inf
1.6600	9.0721	Inf	Inf
1.6992	9.2576	Inf	Inf
1.7613	9.5228	Inf	Inf
1.7868	9.6639	Inf	Inf
1.8869	9.6496	Inf	Inf
1.9167	9.7462	Inf	Inf
1.9494	10.2110	Inf	Inf
2.0193	10.4258	Inf	Inf
2.1004	10.3165	Inf	Inf
2.1439	10.4171	Inf	Inf
2.1626	10.5173	Inf	Inf
2.2619	10.5898	Inf	Inf
2.3623	10.5715	Inf	Inf
2.4629	10.4751	Inf	Inf
2.4965	10.3708	Inf	Inf
2.5549	10.4676	Inf	Inf
2.6550	10.3727	Inf	Inf
2.7550	10.3428	Inf	Inf
2.8180	10.2314	Inf	Inf
2.8905	10.3304	Inf	Inf
2.9483	10.2023	Inf	Inf
3.0494	10.1744	Inf	Inf
3.1502	10.1195	Inf	Inf
3.1780	10.0134	Inf	Inf
3.2245	9.8884	Inf	Inf
3.3242	9.7950	Inf	Inf
3.4012	9.8974	Inf	Inf
3.4899	9.7920	Inf	Inf
3.5191	9.6866	Inf	Inf
3.5937	9.4654	Inf	Inf
3.6282	9.3606	Inf	Inf
