Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 16:02:26

Name:	Wood (perpendicular)
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0980	0.0079	Inf	Inf
0.1987	0.0154	Inf	Inf
0.2972	0.0121	Inf	Inf
0.3985	0.0101	Inf	Inf
0.4980	0.0543	Inf	Inf
0.5733	0.1555	Inf	Inf
0.6228	0.2564	Inf	Inf
0.6727	0.3579	Inf	Inf
0.7243	0.5095	Inf	Inf
0.7710	0.6851	Inf	Inf
0.8259	0.9164	Inf	Inf
0.8741	1.1127	Inf	Inf
0.8995	1.2271	Inf	Inf
0.9757	1.5652	Inf	Inf
1.0045	1.6648	Inf	Inf
1.0349	1.7658	Inf	Inf
1.0812	1.9324	Inf	Inf
1.1367	2.1762	Inf	Inf
1.1798	2.2747	Inf	Inf
1.2386	2.3922	Inf	Inf
1.2937	2.4931	Inf	Inf
1.3660	2.5933	Inf	Inf
1.4607	2.6930	Inf	Inf
1.5601	2.7777	Inf	Inf
1.6604	2.7891	Inf	Inf
1.7325	2.8900	Inf	Inf
1.7867	2.9903	Inf	Inf
1.8876	3.0539	Inf	Inf
1.9882	3.0757	Inf	Inf
2.0889	3.0748	Inf	Inf
2.1894	3.1363	Inf	Inf
2.2891	3.0756	Inf	Inf
2.3890	3.0593	Inf	Inf
2.4892	3.1544	Inf	Inf
2.5379	3.2536	Inf	Inf
2.6365	3.2959	Inf	Inf
2.7367	3.2234	Inf	Inf
2.8362	3.2113	Inf	Inf
2.9346	3.2951	Inf	Inf
3.0341	3.2327	Inf	Inf
3.1348	3.1693	Inf	Inf
3.1717	3.2697	Inf	Inf
3.2338	3.3689	Inf	Inf
3.3341	3.3841	Inf	Inf
3.4330	3.3891	Inf	Inf
3.5331	3.3973	Inf	Inf
3.6343	3.4311	Inf	Inf
3.7339	3.3769	Inf	Inf
3.8337	3.4038	Inf	Inf
3.9227	3.5047	Inf	Inf
4.0217	3.5932	Inf	Inf
4.1230	3.5943	Inf	Inf
4.1799	3.4908	Inf	Inf
4.2803	3.5478	Inf	Inf
4.3796	3.6135	Inf	Inf
4.4799	3.6040	Inf	Inf
4.5787	3.6184	Inf	Inf
4.6626	3.7176	Inf	Inf
4.7530	3.8188	Inf	Inf
4.8529	3.8548	Inf	Inf
4.9527	3.7779	Inf	Inf
4.9816	3.6741	Inf	Inf
5.0686	3.7748	Inf	Inf
