Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:52:16

Name:	wood against the grain
User Comment:	Anna Cameron, Mustafa Panchbhaya, Max Chapman

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1016	0.0694	Inf	Inf
0.2040	0.0615	Inf	Inf
0.3043	0.0622	Inf	Inf
0.4044	0.0660	Inf	Inf
0.5060	0.0604	Inf	Inf
0.6041	0.0582	Inf	Inf
0.7039	0.0618	Inf	Inf
0.8042	0.0636	Inf	Inf
0.9038	0.0612	Inf	Inf
1.0034	0.0667	Inf	Inf
1.1035	0.0719	Inf	Inf
1.2051	0.0613	Inf	Inf
1.3031	0.0611	Inf	Inf
1.4024	0.0665	Inf	Inf
1.5030	0.0601	Inf	Inf
1.6031	0.0570	Inf	Inf
1.7031	0.0596	Inf	Inf
1.8040	0.0616	Inf	Inf
1.9043	0.1048	Inf	Inf
1.9655	0.2043	Inf	Inf
1.9980	0.3043	Inf	Inf
2.0222	0.4055	Inf	Inf
2.0717	0.6750	Inf	Inf
2.1234	1.1835	Inf	Inf
2.1455	1.2855	Inf	Inf
2.1511	1.4856	Inf	Inf
2.1944	2.1838	Inf	Inf
2.2525	2.8859	Inf	Inf
2.2689	3.1180	Inf	Inf
2.3272	3.6783	Inf	Inf
2.3408	3.7730	Inf	Inf
2.3650	4.2517	Inf	Inf
2.4457	5.1789	Inf	Inf
2.4687	5.3514	Inf	Inf
2.5219	5.7736	Inf	Inf
2.5718	6.1768	Inf	Inf
2.6251	6.4827	Inf	Inf
2.6731	6.7350	Inf	Inf
2.6886	6.8312	Inf	Inf
2.7773	7.1110	Inf	Inf
2.8233	7.2120	Inf	Inf
2.9215	7.1424	Inf	Inf
2.9329	7.0317	Inf	Inf
2.9709	6.4106	Inf	Inf
2.9732	6.2198	Inf	Inf
2.9956	6.3102	Inf	Inf
3.0526	7.1595	Inf	Inf
3.1525	7.1035	Inf	Inf
3.1736	6.9976	Inf	Inf
3.2742	7.0436	Inf	Inf
3.3721	7.0778	Inf	Inf
3.4727	7.0570	Inf	Inf
3.5739	7.0516	Inf	Inf
3.6711	7.0547	Inf	Inf
3.7709	7.0418	Inf	Inf
3.8716	7.0323	Inf	Inf
3.9061	6.9128	Inf	Inf
3.9467	6.4369	Inf	Inf
3.9688	6.1305	Inf	Inf
4.0039	6.2343	Inf	Inf
4.0723	7.1354	Inf	Inf
4.1745	7.1814	Inf	Inf
4.2753	7.0911	Inf	Inf
4.3737	6.9931	Inf	Inf
4.4610	6.8897	Inf	Inf
4.5351	6.7836	Inf	Inf
4.6093	6.6794	Inf	Inf
4.6865	6.5729	Inf	Inf
4.7865	6.3924	Inf	Inf
4.8449	6.4930	Inf	Inf
4.8975	6.3815	Inf	Inf
4.9115	6.2714	Inf	Inf
4.9389	5.7128	Inf	Inf
4.9501	5.5239	Inf	Inf
4.9744	5.6262	Inf	Inf
5.0228	6.2482	Inf	Inf
5.0761	6.5043	Inf	Inf
5.1268	6.3455	Inf	Inf
5.1630	6.1183	Inf	Inf
5.1888	5.6913	Inf	Inf
5.1998	5.5227	Inf	Inf
5.2074	5.6256	Inf	Inf
5.2348	5.8485	Inf	Inf
