Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:32:45

Name:	aluminium
User Comment:	Anna Cameron, Mustafa Panchbhaya, Max Chapman

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0066	0.1000	Inf	Inf
0.0085	0.2009	Inf	Inf
0.0306	0.3630	Inf	Inf
0.0490	0.5792	Inf	Inf
0.0727	0.7746	Inf	Inf
0.0799	1.0370	Inf	Inf
0.1019	1.2551	Inf	Inf
0.1129	1.3543	Inf	Inf
0.1136	1.4583	Inf	Inf
0.1413	1.8225	Inf	Inf
0.1542	2.1025	Inf	Inf
0.1688	2.3981	Inf	Inf
0.1902	2.7769	Inf	Inf
0.2208	3.1514	Inf	Inf
0.2381	3.4034	Inf	Inf
0.2748	3.5342	Inf	Inf
0.3181	3.6429	Inf	Inf
0.3339	3.7433	Inf	Inf
0.3822	3.8420	Inf	Inf
0.4384	3.9424	Inf	Inf
0.4644	4.0417	Inf	Inf
0.5249	4.1678	Inf	Inf
0.5652	4.2701	Inf	Inf
0.5881	4.3694	Inf	Inf
0.6295	4.4685	Inf	Inf
0.6468	4.5685	Inf	Inf
0.7242	4.6677	Inf	Inf
0.8079	4.7672	Inf	Inf
0.8772	4.8672	Inf	Inf
0.8947	4.9970	Inf	Inf
0.9947	5.0299	Inf	Inf
1.0562	5.1301	Inf	Inf
1.1542	5.2301	Inf	Inf
1.2537	5.3289	Inf	Inf
1.3539	5.4069	Inf	Inf
1.4200	5.5090	Inf	Inf
1.5196	5.5650	Inf	Inf
1.6190	5.6165	Inf	Inf
1.6987	5.7156	Inf	Inf
1.7988	5.7363	Inf	Inf
1.8992	5.7229	Inf	Inf
1.9913	5.8229	Inf	Inf
2.0916	5.8759	Inf	Inf
2.1915	5.8859	Inf	Inf
2.2911	5.9201	Inf	Inf
2.3914	5.9567	Inf	Inf
2.4016	6.0568	Inf	Inf
2.4388	5.9150	Inf	Inf
2.5388	5.9334	Inf	Inf
2.6384	5.9969	Inf	Inf
2.7143	6.0979	Inf	Inf
2.7413	5.9927	Inf	Inf
2.8416	6.0250	Inf	Inf
2.9417	6.0539	Inf	Inf
3.0428	6.0721	Inf	Inf
3.0820	5.9713	Inf	Inf
3.0838	6.0697	Inf	Inf
3.1836	6.1262	Inf	Inf
3.2839	6.1349	Inf	Inf
3.3840	6.1000	Inf	Inf
3.4706	5.9993	Inf	Inf
3.4711	6.0996	Inf	Inf
3.5709	6.0628	Inf	Inf
3.6710	6.0665	Inf	Inf
3.7709	6.0455	Inf	Inf
3.8608	6.1447	Inf	Inf
3.9616	6.0963	Inf	Inf
4.0616	6.0752	Inf	Inf
4.1610	6.0839	Inf	Inf
4.2611	6.0708	Inf	Inf
4.3609	5.9780	Inf	Inf
4.3648	6.0793	Inf	Inf
4.3691	6.1846	Inf	Inf
4.4260	6.0479	Inf	Inf
4.5251	6.0211	Inf	Inf
4.6251	5.9896	Inf	Inf
4.7242	5.9486	Inf	Inf
4.8236	5.9074	Inf	Inf
4.8700	5.8061	Inf	Inf
4.8826	5.9053	Inf	Inf
4.8879	6.0151	Inf	Inf
4.9363	5.8004	Inf	Inf
5.0364	5.7932	Inf	Inf
5.1364	5.7211	Inf	Inf
5.2362	5.6512	Inf	Inf
5.3361	5.5627	Inf	Inf
5.4042	5.4619	Inf	Inf
5.4055	5.5619	Inf	Inf
5.4739	5.4616	Inf	Inf
5.5740	5.3925	Inf	Inf
5.6468	5.2917	Inf	Inf
5.7461	5.2038	Inf	Inf
5.8344	5.1030	Inf	Inf
5.9169	5.0021	Inf	Inf
5.9928	4.9004	Inf	Inf
6.0730	4.6469	Inf	Inf
6.2023	4.3328	Inf	Inf
6.2794	4.1727	Inf	Inf
6.3597	4.0126	Inf	Inf
Data End	

