Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:37:39

Name:	steel
User Comment:	Anna Cameron, Mustafa Panchbhaya, Max Chapman

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
-0.0141	0.1018	-Inf	Inf
0.0105	0.2020	Inf	Inf
0.0141	0.3029	Inf	Inf
0.0241	0.4693	Inf	Inf
0.0329	0.6863	Inf	Inf
0.0344	0.7901	Inf	Inf
0.0420	0.9897	Inf	Inf
0.0471	1.1606	Inf	Inf
0.0568	1.3175	Inf	Inf
0.0620	1.4710	Inf	Inf
0.0697	1.6464	Inf	Inf
0.0805	1.8205	Inf	Inf
0.0847	1.9192	Inf	Inf
0.0875	2.1346	Inf	Inf
0.1001	2.3449	Inf	Inf
0.1068	2.5781	Inf	Inf
0.1119	2.7515	Inf	Inf
0.1287	2.9103	Inf	Inf
0.1317	3.1214	Inf	Inf
0.1422	3.3020	Inf	Inf
0.1460	3.5202	Inf	Inf
0.1528	3.7347	Inf	Inf
0.1589	3.8840	Inf	Inf
0.1613	4.0918	Inf	Inf
0.1646	4.2475	Inf	Inf
0.1718	4.3527	Inf	Inf
0.1772	4.5050	Inf	Inf
0.1815	4.7066	Inf	Inf
0.1927	4.9281	Inf	Inf
0.1995	5.1973	Inf	Inf
0.2016	5.2967	Inf	Inf
0.2077	5.5359	Inf	Inf
0.2127	5.8032	Inf	Inf
0.2224	6.0697	Inf	Inf
0.2268	6.2807	Inf	Inf
0.2280	6.5005	Inf	Inf
0.2367	6.7053	Inf	Inf
0.2380	6.6056	Inf	Inf
0.2425	6.8057	Inf	Inf
0.2453	6.9057	Inf	Inf
0.2497	7.0053	Inf	Inf
0.2498	7.1057	Inf	Inf
0.2529	7.3041	Inf	Inf
0.2541	7.2054	Inf	Inf
0.2628	7.5647	Inf	Inf
0.2705	8.0142	Inf	Inf
0.2708	7.7729	Inf	Inf
0.2708	7.9038	Inf	Inf
