Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 17.02.2023	Time: 13:49:24

Name:	wood with the grain
User Comment:	Anna Cameron, Mustafa Panchbhaya, Max Chapman

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0068	Inf	Inf
0.1999	0.0018	Inf	Inf
0.2997	0.0029	Inf	Inf
0.3999	0.0037	Inf	Inf
0.5005	0.0043	Inf	Inf
0.6003	0.0068	Inf	Inf
0.6998	0.0027	Inf	Inf
0.7995	0.0063	Inf	Inf
0.8994	0.0043	Inf	Inf
0.9985	0.0026	Inf	Inf
1.0988	0.0020	Inf	Inf
1.1978	0.0007	Inf	Inf
1.2979	0.0048	Inf	Inf
1.3975	0.0104	Inf	Inf
1.4976	0.0009	Inf	Inf
1.5969	0.0010	Inf	Inf
1.6971	0.0019	Inf	Inf
1.7971	0.0051	Inf	Inf
1.8964	0.0035	Inf	Inf
1.9977	0.0044	Inf	Inf
2.0977	0.0073	Inf	Inf
2.1974	0.0021	Inf	Inf
2.2971	0.0044	Inf	Inf
2.3972	0.0010	Inf	Inf
2.4980	0.0049	Inf	Inf
2.5973	0.0070	Inf	Inf
2.6974	0.0009	Inf	Inf
2.7975	0.0014	Inf	Inf
2.8980	0.0024	Inf	Inf
2.9549	0.1029	Inf	Inf
2.9751	0.2033	Inf	Inf
3.0061	0.4091	Inf	Inf
3.0282	0.6715	Inf	Inf
3.0515	0.9328	Inf	Inf
3.0649	1.1359	Inf	Inf
3.0771	1.4541	Inf	Inf
3.0958	1.6983	Inf	Inf
3.1065	2.0613	Inf	Inf
3.1203	2.1915	Inf	Inf
3.1245	2.4125	Inf	Inf
3.1294	2.5785	Inf	Inf
3.1310	2.8965	Inf	Inf
3.1577	3.2940	Inf	Inf
3.1619	3.5321	Inf	Inf
3.1707	3.7675	Inf	Inf
3.1833	4.1746	Inf	Inf
3.1883	4.2733	Inf	Inf
3.1917	4.4446	Inf	Inf
3.2032	4.7072	Inf	Inf
3.2085	4.8861	Inf	Inf
3.2146	5.2282	Inf	Inf
3.2204	5.4655	Inf	Inf
