Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 16:40:15

Name:	G33 ALUMINIUM
User Comment:	HAMISH

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1002	0.0125	Inf	Inf
0.2007	0.0065	Inf	Inf
0.3010	-0.0011	Inf	-Inf
0.4003	-0.0053	Inf	-Inf
0.4997	-0.0057	Inf	-Inf
0.5994	0.0017	Inf	Inf
0.6987	0.0017	Inf	Inf
0.7988	0.0077	Inf	Inf
0.8988	0.0114	Inf	Inf
0.9989	0.0094	Inf	Inf
1.0994	0.0156	Inf	Inf
1.1994	0.0152	Inf	Inf
1.2992	0.0241	Inf	Inf
1.3989	0.0396	Inf	Inf
1.4990	0.0319	Inf	Inf
1.5988	0.0309	Inf	Inf
1.6988	0.0309	Inf	Inf
1.7985	0.0349	Inf	Inf
1.8981	0.0302	Inf	Inf
1.9978	0.0316	Inf	Inf
2.0982	0.0272	Inf	Inf
2.1983	0.0260	Inf	Inf
2.2979	0.0269	Inf	Inf
2.3981	0.0253	Inf	Inf
2.4979	0.0316	Inf	Inf
2.5980	0.0296	Inf	Inf
2.6980	0.0433	Inf	Inf
2.7698	0.1427	Inf	Inf
2.7851	0.2425	Inf	Inf
2.7890	0.3425	Inf	Inf
2.8061	0.4417	Inf	Inf
2.8070	0.5416	Inf	Inf
2.8163	0.6408	Inf	Inf
2.8247	0.7445	Inf	Inf
2.8344	0.8442	Inf	Inf
2.8462	0.9445	Inf	Inf
2.8561	1.0443	Inf	Inf
2.8610	1.1446	Inf	Inf
2.8671	1.2458	Inf	Inf
2.8735	1.3590	Inf	Inf
2.8890	1.5156	Inf	Inf
2.8911	1.6424	Inf	Inf
2.9024	1.7422	Inf	Inf
2.9114	1.8427	Inf	Inf
2.9184	1.9434	Inf	Inf
2.9222	2.0422	Inf	Inf
2.9284	2.1425	Inf	Inf
2.9316	2.2430	Inf	Inf
2.9355	2.3437	Inf	Inf
2.9423	2.5097	Inf	Inf
2.9610	2.8346	Inf	Inf
2.9672	2.9349	Inf	Inf
2.9730	3.0348	Inf	Inf
2.9780	3.1357	Inf	Inf
2.9824	3.2361	Inf	Inf
2.9862	3.4363	Inf	Inf
2.9930	3.3356	Inf	Inf
2.9958	3.5370	Inf	Inf
2.9991	3.6364	Inf	Inf
3.0025	3.7422	Inf	Inf
3.0193	3.8414	Inf	Inf
3.0377	3.9412	Inf	Inf
3.0873	4.0414	Inf	Inf
3.1271	4.1417	Inf	Inf
3.1564	4.2418	Inf	Inf
3.1901	4.3422	Inf	Inf
3.2515	4.4420	Inf	Inf
3.2776	4.5416	Inf	Inf
3.3092	4.6398	Inf	Inf
3.3837	4.7394	Inf	Inf
3.4433	4.8391	Inf	Inf
3.4854	4.9384	Inf	Inf
3.5428	5.0391	Inf	Inf
3.6058	5.1387	Inf	Inf
3.6857	5.2390	Inf	Inf
3.7561	5.3379	Inf	Inf
3.8465	5.4387	Inf	Inf
3.8752	5.5401	Inf	Inf
3.9749	5.5961	Inf	Inf
4.0483	5.6963	Inf	Inf
4.1479	5.7698	Inf	Inf
4.2480	5.8188	Inf	Inf
4.2766	5.9198	Inf	Inf
4.3765	5.8690	Inf	Inf
4.4769	5.9254	Inf	Inf
4.5769	6.0028	Inf	Inf
4.6770	6.0358	Inf	Inf
4.6937	5.9353	Inf	Inf
4.6991	6.0350	Inf	Inf
4.7992	5.9889	Inf	Inf
4.8568	6.0888	Inf	Inf
4.9573	6.0981	Inf	Inf
5.0570	6.1332	Inf	Inf
5.0691	6.1333	Inf	Inf
5.0713	6.0327	Inf	Inf
5.1687	6.1376	Inf	Inf
5.2687	6.1804	Inf	Inf
5.3683	6.1994	Inf	Inf
5.4478	6.0981	Inf	Inf
5.4552	6.1972	Inf	Inf
5.5555	6.1802	Inf	Inf
5.6554	6.2234	Inf	Inf
5.7555	6.2441	Inf	Inf
5.8559	6.2897	Inf	Inf
5.9558	6.2466	Inf	Inf
6.0559	6.1998	Inf	Inf
6.1556	6.2427	Inf	Inf
6.2558	6.2479	Inf	Inf
6.3561	6.2542	Inf	Inf
6.4558	6.2004	Inf	Inf
6.5322	6.1988	Inf	Inf
6.5371	6.0971	Inf	Inf
6.5391	6.2975	Inf	Inf
6.6389	6.2125	Inf	Inf
6.7391	6.1869	Inf	Inf
6.8391	6.2200	Inf	Inf
6.9322	6.1177	Inf	Inf
6.9495	6.2176	Inf	Inf
6.9966	6.1154	Inf	Inf
7.0039	6.2156	Inf	Inf
7.1040	6.1038	Inf	Inf
7.2038	6.1193	Inf	Inf
7.3040	6.0480	Inf	Inf
7.4040	5.9891	Inf	Inf
7.5041	5.9277	Inf	Inf
7.5729	5.8270	Inf	Inf
7.5925	5.9271	Inf	Inf
7.6588	5.8259	Inf	Inf
7.7589	5.7775	Inf	Inf
7.8319	5.6742	Inf	Inf
7.9323	5.5811	Inf	Inf
8.0324	5.4782	Inf	Inf
8.0852	5.3765	Inf	Inf
8.1037	5.4774	Inf	Inf
8.1446	5.3763	Inf	Inf
8.2137	5.2737	Inf	Inf
8.2941	5.1712	Inf	Inf
8.3712	5.0688	Inf	Inf
8.4331	4.8712	Inf	Inf
8.5557	4.5662	Inf	Inf
8.6341	4.4118	Inf	Inf
8.7168	4.2572	Inf	Inf
8.7960	4.1014	Inf	Inf
Data End	

