Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 16:53:46

Name:	PARALLEL WOOD
User Comment:	HAMISH

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1003	0.0162	Inf	Inf
0.2004	0.0188	Inf	Inf
0.3008	0.0080	Inf	Inf
0.4004	0.0084	Inf	Inf
0.5004	0.0085	Inf	Inf
0.6006	0.0076	Inf	Inf
0.7007	0.0009	Inf	Inf
0.8004	0.0058	Inf	Inf
0.9005	0.0079	Inf	Inf
1.0010	0.0148	Inf	Inf
1.1003	0.0039	Inf	Inf
1.1993	0.0069	Inf	Inf
1.2990	0.0002	Inf	Inf
1.3991	0.0350	Inf	Inf
1.4552	0.1352	Inf	Inf
1.4831	0.2361	Inf	Inf
1.5114	0.4566	Inf	Inf
1.5236	0.5801	Inf	Inf
1.5366	0.6804	Inf	Inf
1.5507	0.9508	Inf	Inf
1.5789	1.3360	Inf	Inf
1.5992	1.8011	Inf	Inf
1.6095	2.1407	Inf	Inf
1.6141	2.3404	Inf	Inf
1.6237	2.4384	Inf	Inf
1.6310	2.9709	Inf	Inf
1.6447	3.4103	Inf	Inf
1.6493	3.6772	Inf	Inf
1.6524	3.7935	Inf	Inf
1.6615	3.9820	Inf	Inf
1.6673	4.1212	Inf	Inf
1.6738	4.2814	Inf	Inf
1.6792	4.4457	Inf	Inf
1.6799	4.5508	Inf	Inf
1.6875	4.7374	Inf	Inf
1.6971	4.8372	Inf	Inf
1.7008	5.0360	Inf	Inf
1.7013	4.9367	Inf	Inf
1.7020	5.1362	Inf	Inf
1.7108	5.2358	Inf	Inf
1.7208	5.3360	Inf	Inf
1.7292	5.5351	Inf	Inf
1.7296	5.4357	Inf	Inf
1.7345	5.6346	Inf	Inf
1.7383	5.7348	Inf	Inf
1.7428	5.8337	Inf	Inf
1.7494	5.9864	Inf	Inf
1.7551	6.4082	Inf	Inf
1.7551	6.2937	Inf	Inf
1.7723	6.5097	Inf	Inf
1.7773	6.7216	Inf	Inf
1.7784	6.6099	Inf	Inf
1.7888	6.8486	Inf	Inf
1.7899	6.9655	Inf	Inf
1.7975	7.0653	Inf	Inf
1.8017	7.1653	Inf	Inf
1.8163	7.2653	Inf	Inf
1.8186	7.3655	Inf	Inf
1.8285	7.4652	Inf	Inf
1.8335	7.5656	Inf	Inf
1.8402	7.6655	Inf	Inf
1.8537	7.7646	Inf	Inf
1.8597	7.8641	Inf	Inf
1.8674	7.9626	Inf	Inf
