Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 16:58:19

Name:	G33 PERP WOOD 
User Comment:	HAMISH

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1001	0.0522	Inf	Inf
0.2006	0.0566	Inf	Inf
0.2999	0.0715	Inf	Inf
0.3797	0.1711	Inf	Inf
0.4470	0.2708	Inf	Inf
0.5058	0.3706	Inf	Inf
0.5490	0.4699	Inf	Inf
0.6067	0.5706	Inf	Inf
0.6560	0.6685	Inf	Inf
0.7128	0.7688	Inf	Inf
0.7693	0.8686	Inf	Inf
0.8657	0.9681	Inf	Inf
0.9267	1.0672	Inf	Inf
0.9756	1.1675	Inf	Inf
1.0355	1.2680	Inf	Inf
1.1121	1.3674	Inf	Inf
1.2114	1.4438	Inf	Inf
1.3112	1.4220	Inf	Inf
1.4114	1.3871	Inf	Inf
1.5123	1.4743	Inf	Inf
1.6123	1.4815	Inf	Inf
1.7117	1.4585	Inf	Inf
1.8116	1.4684	Inf	Inf
1.9116	1.4754	Inf	Inf
2.0121	1.4828	Inf	Inf
2.1139	1.5508	Inf	Inf
2.2154	1.5664	Inf	Inf
2.3152	1.5391	Inf	Inf
2.4145	1.5046	Inf	Inf
2.5151	1.4983	Inf	Inf
2.6154	1.4845	Inf	Inf
2.7157	1.5762	Inf	Inf
2.8160	1.5911	Inf	Inf
2.9144	1.6193	Inf	Inf
3.0145	1.5563	Inf	Inf
3.1142	1.6408	Inf	Inf
3.2141	1.6481	Inf	Inf
3.3135	1.6526	Inf	Inf
3.4121	1.6836	Inf	Inf
3.5129	1.6264	Inf	Inf
3.6132	1.7059	Inf	Inf
3.7134	1.7257	Inf	Inf
3.8131	1.6347	Inf	Inf
3.9107	1.7354	Inf	Inf
4.0097	1.7330	Inf	Inf
4.1102	1.7987	Inf	Inf
4.2102	1.8477	Inf	Inf
4.3117	1.8535	Inf	Inf
4.4119	1.8650	Inf	Inf
4.5113	1.9064	Inf	Inf
4.6117	1.9053	Inf	Inf
4.7116	1.9446	Inf	Inf
4.8112	2.0164	Inf	Inf
4.9110	1.9761	Inf	Inf
4.9313	1.8757	Inf	Inf
4.9840	1.9804	Inf	Inf
5.0334	2.1377	Inf	Inf
5.1324	2.1793	Inf	Inf
5.2323	2.1903	Inf	Inf
5.3322	2.2104	Inf	Inf
5.4317	2.2571	Inf	Inf
5.5310	2.2931	Inf	Inf
5.6322	2.3418	Inf	Inf
5.7315	2.3350	Inf	Inf
5.8320	2.3842	Inf	Inf
5.9315	2.2984	Inf	Inf
6.0086	2.1972	Inf	Inf
6.0408	2.2993	Inf	Inf
6.1096	2.4707	Inf	Inf
6.2084	2.5358	Inf	Inf
6.3083	2.5885	Inf	Inf
6.4082	2.5985	Inf	Inf
6.5073	2.6552	Inf	Inf
6.6080	2.6037	Inf	Inf
6.6570	2.7024	Inf	Inf
6.7562	2.7720	Inf	Inf
6.8567	2.7733	Inf	Inf
6.9565	2.7729	Inf	Inf
7.0165	2.6702	Inf	Inf
7.0179	2.5678	Inf	Inf
7.0515	2.6629	Inf	Inf
7.0960	2.8762	Inf	Inf
7.1543	2.9991	Inf	Inf
7.2551	2.9889	Inf	Inf
7.3560	2.9931	Inf	Inf
7.4561	3.0486	Inf	Inf
7.5165	3.1499	Inf	Inf
7.6175	3.1942	Inf	Inf
7.6876	3.0901	Inf	Inf
7.7472	3.1888	Inf	Inf
7.7907	3.3568	Inf	Inf
7.8483	3.4606	Inf	Inf
7.9038	3.3552	Inf	Inf
7.9150	3.1645	Inf	Inf
7.9285	3.0488	Inf	Inf
7.9550	3.1514	Inf	Inf
7.9738	3.2781	Inf	Inf
8.0141	3.4313	Inf	Inf
8.0757	3.5315	Inf	Inf
8.1771	3.5998	Inf	Inf
8.2767	3.6582	Inf	Inf
8.3768	3.7122	Inf	Inf
8.3969	3.6086	Inf	Inf
8.4501	3.7089	Inf	Inf
8.4977	3.8596	Inf	Inf
8.5688	3.9590	Inf	Inf
8.6674	3.8535	Inf	Inf
8.6714	3.7507	Inf	Inf
8.6726	3.6485	Inf	Inf
8.6816	3.5477	Inf	Inf
8.6903	3.4454	Inf	Inf
8.7147	3.5457	Inf	Inf
8.7392	3.8224	Inf	Inf
8.8145	4.1264	Inf	Inf
8.9144	4.1299	Inf	Inf
8.9490	4.2291	Inf	Inf
9.0179	4.3353	Inf	Inf
9.1180	4.3833	Inf	Inf
9.1520	4.4839	Inf	Inf
9.2096	4.6027	Inf	Inf
9.2623	4.7039	Inf	Inf
9.3618	4.7801	Inf	Inf
9.4624	4.7688	Inf	Inf
9.5627	4.7749	Inf	Inf
9.5931	4.6717	Inf	Inf
9.6087	4.4694	Inf	Inf
9.6163	4.3684	Inf	Inf
9.6248	4.2671	Inf	Inf
9.6508	4.3645	Inf	Inf
9.6714	4.8685	Inf	Inf
9.7335	5.1148	Inf	Inf
9.7748	5.2258	Inf	Inf
9.8230	5.3268	Inf	Inf
9.8790	5.4283	Inf	Inf
9.9479	5.5288	Inf	Inf
9.9944	5.6286	Inf	Inf
10.0797	5.7273	Inf	Inf
10.0974	5.8286	Inf	Inf
10.1463	6.0169	Inf	Inf
10.2466	5.9268	Inf	Inf
10.2559	5.8212	Inf	Inf
10.2703	5.6452	Inf	Inf
10.2866	5.3608	Inf	Inf
10.2893	5.4811	Inf	Inf
10.2943	5.2586	Inf	Inf
10.3076	5.1576	Inf	Inf
10.3178	5.2507	Inf	Inf
10.3562	6.0010	Inf	Inf
10.4147	6.5640	Inf	Inf
10.4585	6.7668	Inf	Inf
10.5150	6.8857	Inf	Inf
10.6163	6.9585	Inf	Inf
10.6634	6.8539	Inf	Inf
10.6783	6.7006	Inf	Inf
10.6859	6.5097	Inf	Inf
10.6897	6.3856	Inf	Inf
10.6953	6.2853	Inf	Inf
10.6997	6.1834	Inf	Inf
10.7126	6.0828	Inf	Inf
10.7232	6.1817	Inf	Inf
10.7269	6.2809	Inf	Inf
10.7458	6.6213	Inf	Inf
10.7626	7.0200	Inf	Inf
10.8011	7.3384	Inf	Inf
10.8193	7.4628	Inf	Inf
10.8519	7.6774	Inf	Inf
10.8914	7.7865	Inf	Inf
10.9225	7.9491	Inf	Inf
10.9642	8.1461	Inf	Inf
11.0107	8.3947	Inf	Inf
11.0630	8.6619	Inf	Inf
11.1125	9.0310	Inf	Inf
11.1382	8.9203	Inf	Inf
11.1622	8.5548	Inf	Inf
11.1717	8.3319	Inf	Inf
11.1867	8.1809	Inf	Inf
11.1957	8.0764	Inf	Inf
11.2018	7.9741	Inf	Inf
11.2065	7.8710	Inf	Inf
11.2162	7.7695	Inf	Inf
Data End	

