Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 16:29:33

Name:	G33 STEEL 
User Comment:	HAMISH 

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.2003	0.0879	Inf	Inf
0.3004	0.0947	Inf	Inf
0.4004	0.0922	Inf	Inf
0.5000	0.1095	Inf	Inf
0.6002	0.1116	Inf	Inf
0.7000	0.1074	Inf	Inf
0.7998	0.1000	Inf	Inf
0.9003	0.1106	Inf	Inf
1.0004	0.1068	Inf	Inf
1.1002	0.1133	Inf	Inf
1.2001	0.0979	Inf	Inf
1.3005	0.1171	Inf	Inf
1.3410	0.2158	Inf	Inf
1.3548	0.3157	Inf	Inf
1.3783	0.4931	Inf	Inf
1.3854	0.6532	Inf	Inf
1.3979	0.8921	Inf	Inf
1.4082	1.0920	Inf	Inf
1.4083	0.9922	Inf	Inf
1.4133	1.1910	Inf	Inf
1.4186	1.2903	Inf	Inf
1.4280	1.3899	Inf	Inf
1.4314	1.4901	Inf	Inf
1.4344	1.5914	Inf	Inf
1.4409	1.6918	Inf	Inf
1.4442	1.7918	Inf	Inf
1.4465	1.9913	Inf	Inf
1.4493	1.8913	Inf	Inf
1.4518	2.0907	Inf	Inf
1.4537	2.1911	Inf	Inf
1.4554	2.4907	Inf	Inf
1.4580	2.2915	Inf	Inf
1.4601	2.3917	Inf	Inf
1.4624	2.6917	Inf	Inf
1.4654	2.5914	Inf	Inf
1.4702	2.7922	Inf	Inf
1.4706	2.8930	Inf	Inf
1.4708	2.9934	Inf	Inf
1.4751	3.0929	Inf	Inf
1.4806	3.1912	Inf	Inf
1.4870	3.2943	Inf	Inf
1.4879	3.4062	Inf	Inf
1.4892	3.5086	Inf	Inf
1.4919	3.6089	Inf	Inf
1.4954	3.7176	Inf	Inf
1.5023	3.8183	Inf	Inf
1.5033	4.0202	Inf	Inf
1.5045	3.9194	Inf	Inf
1.5076	4.1213	Inf	Inf
1.5159	4.2227	Inf	Inf
1.5165	4.3241	Inf	Inf
1.5188	4.4236	Inf	Inf
1.5253	4.5238	Inf	Inf
1.5262	4.6223	Inf	Inf
1.5294	4.7223	Inf	Inf
1.5320	4.8221	Inf	Inf
1.5379	5.0246	Inf	Inf
1.5399	5.1243	Inf	Inf
1.5405	4.9242	Inf	Inf
1.5433	5.2247	Inf	Inf
1.5471	5.3292	Inf	Inf
1.5495	5.5284	Inf	Inf
1.5501	5.4286	Inf	Inf
1.5523	5.6283	Inf	Inf
1.5549	5.7289	Inf	Inf
1.5556	5.8301	Inf	Inf
1.5602	6.0312	Inf	Inf
1.5611	5.9315	Inf	Inf
1.5672	6.1321	Inf	Inf
1.5692	6.2764	Inf	Inf
1.5734	6.5740	Inf	Inf
1.5747	6.3761	Inf	Inf
1.5763	6.6741	Inf	Inf
1.5765	6.4745	Inf	Inf
1.5802	6.7746	Inf	Inf
1.5814	6.8742	Inf	Inf
1.5850	7.0969	Inf	Inf
1.5859	6.9736	Inf	Inf
1.5908	7.1972	Inf	Inf
1.5959	7.2968	Inf	Inf
1.5966	7.3970	Inf	Inf
1.5993	7.5990	Inf	Inf
1.5994	7.4977	Inf	Inf
1.6025	7.7002	Inf	Inf
1.6032	7.8007	Inf	Inf
1.6092	7.9011	Inf	Inf
1.6092	8.0020	Inf	Inf
1.6104	8.1027	Inf	Inf
1.6127	8.2040	Inf	Inf
1.6198	8.3059	Inf	Inf
1.6216	8.4062	Inf	Inf
1.6239	8.6486	Inf	Inf
1.6256	8.5056	Inf	Inf
