Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 13:23:30

Name:	timber perpendicular
User Comment:	d&z

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0107	0.1049	Inf	Inf
0.0389	0.5901	Inf	Inf
0.1137	1.8139	Inf	Inf
0.1404	2.3216	Inf	Inf
0.1664	2.8975	Inf	Inf
0.1870	3.0762	Inf	Inf
0.1977	3.1826	Inf	Inf
0.2473	4.6949	Inf	Inf
0.2992	5.7830	Inf	Inf
0.3496	6.8471	Inf	Inf
0.3954	7.5081	Inf	Inf
0.4511	7.7317	Inf	Inf
0.4557	7.5062	Inf	Inf
0.4725	7.6070	Inf	Inf
0.4885	8.4927	Inf	Inf
0.5771	9.4426	Inf	Inf
0.5954	9.5456	Inf	Inf
0.6816	9.7431	Inf	Inf
0.7763	9.6318	Inf	Inf
0.7885	9.5112	Inf	Inf
0.8122	9.0162	Inf	Inf
0.8305	9.1230	Inf	Inf
0.8725	10.1182	Inf	Inf
0.9381	10.4059	Inf	Inf
1.0404	10.2883	Inf	Inf
1.0809	10.1800	Inf	Inf
1.1480	10.0406	Inf	Inf
1.2007	9.9338	Inf	Inf
1.2992	9.9076	Inf	Inf
1.3999	9.8963	Inf	Inf
1.4381	9.7776	Inf	Inf
1.5037	9.0274	Inf	Inf
1.5190	9.1215	Inf	Inf
1.5411	9.6236	Inf	Inf
1.6251	10.0159	Inf	Inf
1.7060	9.9109	Inf	Inf
1.7671	9.8042	Inf	Inf
1.8090	9.6914	Inf	Inf
1.8694	9.2447	Inf	Inf
1.8823	8.7490	Inf	Inf
1.9052	8.4043	Inf	Inf
1.9220	8.4946	Inf	Inf
2.0098	9.8813	Inf	Inf
2.0495	9.7671	Inf	Inf
2.0709	9.6457	Inf	Inf
2.1541	9.0641	Inf	Inf
2.1739	8.7097	Inf	Inf
2.1770	8.5534	Inf	Inf
2.1938	8.2001	Inf	Inf
2.1991	8.0858	Inf	Inf
2.2174	8.1945	Inf	Inf
2.3037	9.5861	Inf	Inf
2.3594	9.4718	Inf	Inf
2.4144	9.3148	Inf	Inf
2.4678	9.1507	Inf	Inf
2.5220	9.0334	Inf	Inf
2.6220	8.9409	Inf	Inf
