Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 13:37:46

Name:	8.1 steel
User Comment:	Alfie-Saleh-Emily

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0127	0.0998	Inf	Inf
0.0303	0.1999	Inf	Inf
0.0363	0.3005	Inf	Inf
0.0408	0.4006	Inf	Inf
0.0410	0.5016	Inf	Inf
0.0476	0.6017	Inf	Inf
0.0479	0.7187	Inf	Inf
0.0586	0.9310	Inf	Inf
0.0651	1.1343	Inf	Inf
0.0767	1.2785	Inf	Inf
0.0858	1.4590	Inf	Inf
0.0876	1.5588	Inf	Inf
0.0958	1.7952	Inf	Inf
0.1011	1.6959	Inf	Inf
0.1062	2.0610	Inf	Inf
0.1087	2.1618	Inf	Inf
0.1158	2.3407	Inf	Inf
0.1203	2.4451	Inf	Inf
0.1360	2.7083	Inf	Inf
0.1414	2.9607	Inf	Inf
0.1452	3.1614	Inf	Inf
0.1485	3.2619	Inf	Inf
0.1584	3.3634	Inf	Inf
0.1667	3.5942	Inf	Inf
0.1713	3.7736	Inf	Inf
0.1758	4.0033	Inf	Inf
0.1837	4.2125	Inf	Inf
0.1871	4.4425	Inf	Inf
0.1993	4.7009	Inf	Inf
0.2007	4.9487	Inf	Inf
0.2067	5.1049	Inf	Inf
0.2082	5.2613	Inf	Inf
0.2152	5.3630	Inf	Inf
0.2174	5.4963	Inf	Inf
0.2253	5.6605	Inf	Inf
0.2304	5.9021	Inf	Inf
0.2353	6.4919	Inf	Inf
0.2360	6.1232	Inf	Inf
0.2450	6.7897	Inf	Inf
0.2454	6.6399	Inf	Inf
0.2485	6.3254	Inf	Inf
0.2550	6.9428	Inf	Inf
0.2578	7.1166	Inf	Inf
0.2655	7.3080	Inf	Inf
0.2668	7.5310	Inf	Inf
0.2729	7.6285	Inf	Inf
0.2798	7.7774	Inf	Inf
0.2809	8.0456	Inf	Inf
0.2829	7.9416	Inf	Inf
0.2880	8.2336	Inf	Inf
0.2962	8.6419	Inf	Inf
0.3056	9.0990	Inf	Inf
0.3095	9.3757	Inf	Inf
0.3250	9.6900	Inf	Inf
0.3323	10.0337	Inf	Inf
0.4094	9.2229	Inf	Inf
0.4339	8.8989	Inf	Inf
0.4386	8.6225	Inf	Inf
0.4810	8.5222	Inf	Inf
0.5757	8.6212	Inf	Inf
0.6692	8.5175	Inf	Inf
0.7691	8.4634	Inf	Inf
0.8489	8.5622	Inf	Inf
0.9196	8.3546	Inf	Inf
0.9201	8.4577	Inf	Inf
0.9299	8.2532	Inf	Inf
0.9468	8.3534	Inf	Inf
0.9538	8.5185	Inf	Inf
1.0026	8.6182	Inf	Inf
1.0470	8.7341	Inf	Inf
1.1006	8.6306	Inf	Inf
1.1224	8.4418	Inf	Inf
1.1486	8.5394	Inf	Inf
1.1574	8.6802	Inf	Inf
1.1908	8.7830	Inf	Inf
1.2097	8.9111	Inf	Inf
1.2675	9.0918	Inf	Inf
1.3104	9.2144	Inf	Inf
1.3629	9.3148	Inf	Inf
1.4353	9.4175	Inf	Inf
1.4815	9.5182	Inf	Inf
1.4967	9.6166	Inf	Inf
1.5573	9.7162	Inf	Inf
1.5974	9.8507	Inf	Inf
1.6967	9.9482	Inf	Inf
1.7493	10.0449	Inf	Inf
1.8185	10.1475	Inf	Inf
1.9002	10.2488	Inf	Inf
1.9364	10.0192	Inf	Inf
1.9402	10.1452	Inf	Inf
1.9461	9.9184	Inf	Inf
1.9512	10.0194	Inf	Inf
2.0224	10.4018	Inf	Inf
2.0528	10.5361	Inf	Inf
2.1320	10.6360	Inf	Inf
2.2315	10.7203	Inf	Inf
2.3134	10.6156	Inf	Inf
2.3377	10.7203	Inf	Inf
2.3660	10.9164	Inf	Inf
2.4664	10.9849	Inf	Inf
2.5470	11.0848	Inf	Inf
2.6472	11.1402	Inf	Inf
2.6791	11.2420	Inf	Inf
2.7797	11.3264	Inf	Inf
2.8798	11.3559	Inf	Inf
2.9064	11.2481	Inf	Inf
2.9137	11.1419	Inf	Inf
2.9157	11.0166	Inf	Inf
2.9187	11.1191	Inf	Inf
2.9263	11.2095	Inf	Inf
3.0203	11.5245	Inf	Inf
3.1199	11.5830	Inf	Inf
3.1406	11.4730	Inf	Inf
3.1452	11.3289	Inf	Inf
3.1601	11.4259	Inf	Inf
3.1680	11.5421	Inf	Inf
3.2639	11.7175	Inf	Inf
3.3636	11.7791	Inf	Inf
3.4634	11.7945	Inf	Inf
3.5646	11.8554	Inf	Inf
3.6646	11.8313	Inf	Inf
3.7487	11.9298	Inf	Inf
3.8098	12.0315	Inf	Inf
3.9099	11.9763	Inf	Inf
3.9210	11.8645	Inf	Inf
3.9233	11.7604	Inf	Inf
3.9321	11.6485	Inf	Inf
3.9332	11.5471	Inf	Inf
3.9347	11.6450	Inf	Inf
3.9538	12.0270	Inf	Inf
4.0375	12.1529	Inf	Inf
4.1143	12.0446	Inf	Inf
4.1620	12.1452	Inf	Inf
4.2621	12.1260	Inf	Inf
4.2774	12.0210	Inf	Inf
4.2885	11.8478	Inf	Inf
4.2949	11.9454	Inf	Inf
4.3435	12.2250	Inf	Inf
4.4428	12.2717	Inf	Inf
4.5440	12.3094	Inf	Inf
4.6445	12.2474	Inf	Inf
4.7449	12.2879	Inf	Inf
4.8416	12.3864	Inf	Inf
4.9417	12.3614	Inf	Inf
4.9875	12.2463	Inf	Inf
4.9962	12.0399	Inf	Inf
5.0168	12.1432	Inf	Inf
5.0967	12.4129	Inf	Inf
5.1975	12.4665	Inf	Inf
5.2322	12.3641	Inf	Inf
5.2514	12.2619	Inf	Inf
5.2652	12.3643	Inf	Inf
5.3086	12.4646	Inf	Inf
5.4085	12.5019	Inf	Inf
5.5082	12.5378	Inf	Inf
5.6089	12.5177	Inf	Inf
5.7092	12.5443	Inf	Inf
5.8088	12.5656	Inf	Inf
5.9091	12.5306	Inf	Inf
5.9799	12.4205	Inf	Inf
5.9830	12.3193	Inf	Inf
5.9845	12.2037	Inf	Inf
5.9967	12.2975	Inf	Inf
6.0767	12.6996	Inf	Inf
6.1751	12.6367	Inf	Inf
6.2354	12.5293	Inf	Inf
6.2582	12.4226	Inf	Inf
6.2589	12.2856	Inf	Inf
6.2749	12.3812	Inf	Inf
6.3358	12.6570	Inf	Inf
6.4360	12.6683	Inf	Inf
6.5348	12.6743	Inf	Inf
6.6350	12.6922	Inf	Inf
6.7363	12.7010	Inf	Inf
6.8374	12.6738	Inf	Inf
6.9376	12.6877	Inf	Inf
7.0367	12.6942	Inf	Inf
7.0685	12.5854	Inf	Inf
7.0791	12.3090	Inf	Inf
7.0818	12.2086	Inf	Inf
7.0884	12.3180	Inf	Inf
7.1088	12.6581	Inf	Inf
7.2095	12.7576	Inf	Inf
7.3094	12.6938	Inf	Inf
7.4094	12.6995	Inf	Inf
7.5093	12.6934	Inf	Inf
7.5371	12.5889	Inf	Inf
7.5463	12.4592	Inf	Inf
7.5630	12.5534	Inf	Inf
7.5766	12.7116	Inf	Inf
7.6747	12.7578	Inf	Inf
7.7744	12.7463	Inf	Inf
7.8737	12.7685	Inf	Inf
7.9736	12.7815	Inf	Inf
8.0742	12.7495	Inf	Inf
8.1737	12.7368	Inf	Inf
8.2119	12.6265	Inf	Inf
8.2254	12.2510	Inf	Inf
8.2260	12.3519	Inf	Inf
8.2380	12.3558	Inf	Inf
8.3282	12.7218	Inf	Inf
8.4293	12.7130	Inf	Inf
8.4973	12.6027	Inf	Inf
8.5567	12.7009	Inf	Inf
8.6563	12.7281	Inf	Inf
8.7560	12.7094	Inf	Inf
8.8574	12.7229	Inf	Inf
8.9571	12.7208	Inf	Inf
9.0567	12.7461	Inf	Inf
9.1289	12.6357	Inf	Inf
9.1479	12.3378	Inf	Inf
9.1656	12.2367	Inf	Inf
9.1682	12.1359	Inf	Inf
9.1716	12.2396	Inf	Inf
9.2258	12.7226	Inf	Inf
9.3253	12.6889	Inf	Inf
9.4267	12.6780	Inf	Inf
9.5268	12.6806	Inf	Inf
9.6261	12.5917	Inf	Inf
9.7255	12.6071	Inf	Inf
9.8269	12.5707	Inf	Inf
9.9275	12.5083	Inf	Inf
9.9822	12.3975	Inf	Inf
9.9858	12.2924	Inf	Inf
10.0004	12.1432	Inf	Inf
10.0020	12.1488	Inf	Inf
10.0040	12.0478	Inf	Inf
10.1045	12.5172	Inf	Inf
10.2049	12.4705	Inf	Inf
10.3049	12.4438	Inf	Inf
10.4054	12.3911	Inf	Inf
10.5035	12.3493	Inf	Inf
10.5994	12.2448	Inf	Inf
10.6829	12.1392	Inf	Inf
10.7643	12.0303	Inf	Inf
10.7896	11.9201	Inf	Inf
10.8099	11.6814	Inf	Inf
10.8257	11.7889	Inf	Inf
10.9115	11.9567	Inf	Inf
10.9595	11.8505	Inf	Inf
11.0296	11.7494	Inf	Inf
11.0838	11.6466	Inf	Inf
11.1829	11.5650	Inf	Inf
11.2604	11.4625	Inf	Inf
11.3256	11.3592	Inf	Inf
11.3915	11.2513	Inf	Inf
11.4659	11.1426	Inf	Inf
11.5419	11.0368	Inf	Inf
11.6087	10.9316	Inf	Inf
11.6655	10.8195	Inf	Inf
11.7172	10.6936	Inf	Inf
11.7697	10.4703	Inf	Inf
11.7854	10.3666	Inf	Inf
11.7875	10.2512	Inf	Inf
11.8040	10.3490	Inf	Inf
11.8191	10.4528	Inf	Inf
11.9179	10.3960	Inf	Inf
11.9678	10.2799	Inf	Inf
12.0266	10.1128	Inf	Inf
12.0773	9.9504	Inf	Inf
12.1242	9.8102	Inf	Inf
12.1835	9.6196	Inf	Inf
12.2299	9.4764	Inf	Inf
12.2821	9.3123	Inf	Inf
12.3315	9.1345	Inf	Inf
12.3536	9.0339	Inf	Inf
12.5373	8.4054	Inf	Inf
12.7390	8.1215	Inf	Inf
12.9529	7.8357	Inf	Inf
13.2079	7.5501	Inf	Inf
13.5272	7.2601	Inf	Inf
13.8652	6.9716	Inf	Inf
14.2488	6.6843	Inf	Inf
Data End	

