Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 14:01:45

Name:	8.1 wood parallel
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0358	0.1000	Inf	Inf
0.0931	0.1995	Inf	Inf
0.1309	0.3000	Inf	Inf
0.1669	0.3999	Inf	Inf
0.1965	0.4994	Inf	Inf
0.2143	0.5987	Inf	Inf
0.2313	0.6981	Inf	Inf
0.2677	0.7978	Inf	Inf
0.2876	0.8979	Inf	Inf
0.3102	0.9972	Inf	Inf
0.3290	1.0966	Inf	Inf
0.3649	1.1964	Inf	Inf
0.4662	1.1696	Inf	Inf
0.5665	1.1850	Inf	Inf
0.6665	1.1997	Inf	Inf
0.7669	1.2646	Inf	Inf
0.8665	1.2393	Inf	Inf
0.9663	1.3006	Inf	Inf
1.0662	1.3416	Inf	Inf
1.1661	1.3422	Inf	Inf
1.2660	1.4178	Inf	Inf
1.3656	1.4122	Inf	Inf
1.4649	1.4895	Inf	Inf
1.5653	1.3984	Inf	Inf
1.6025	1.4988	Inf	Inf
1.7026	1.5460	Inf	Inf
1.8023	1.5996	Inf	Inf
1.9022	1.6099	Inf	Inf
2.0015	1.6240	Inf	Inf
2.1016	1.6508	Inf	Inf
2.2021	1.7057	Inf	Inf
2.3014	1.7151	Inf	Inf
2.4008	1.7568	Inf	Inf
2.5004	1.8154	Inf	Inf
2.6002	1.8656	Inf	Inf
2.6990	1.8953	Inf	Inf
2.7985	1.9314	Inf	Inf
2.8983	1.8749	Inf	Inf
2.9985	1.9204	Inf	Inf
3.0994	1.9469	Inf	Inf
3.2001	1.9588	Inf	Inf
3.3007	1.9421	Inf	Inf
3.3999	1.9992	Inf	Inf
3.5010	2.0037	Inf	Inf
3.6009	2.0615	Inf	Inf
3.7013	2.0034	Inf	Inf
3.7342	2.1023	Inf	Inf
3.8336	2.1336	Inf	Inf
