Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 10.02.2023	Time: 13:58:26

Name:	8.1 wood perpendicular
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0101	0.0993	Inf	Inf
0.0285	0.2003	Inf	Inf
0.0434	0.3006	Inf	Inf
0.0716	0.4008	Inf	Inf
0.0864	0.5004	Inf	Inf
0.1007	0.6004	Inf	Inf
0.1137	0.7000	Inf	Inf
0.1191	0.8002	Inf	Inf
0.1343	0.9006	Inf	Inf
0.1464	1.0014	Inf	Inf
0.1571	1.0996	Inf	Inf
0.1653	1.1991	Inf	Inf
0.1719	1.3978	Inf	Inf
0.1740	1.2992	Inf	Inf
0.1844	1.6539	Inf	Inf
0.2028	1.8920	Inf	Inf
0.2083	1.9901	Inf	Inf
0.2084	2.1913	Inf	Inf
0.2098	2.0906	Inf	Inf
0.2149	2.2964	Inf	Inf
0.2222	2.4674	Inf	Inf
0.2350	2.5927	Inf	Inf
0.2390	2.6920	Inf	Inf
0.2443	2.8723	Inf	Inf
0.2492	3.2299	Inf	Inf
0.2494	3.0317	Inf	Inf
0.2584	3.4383	Inf	Inf
0.2752	3.7449	Inf	Inf
0.2816	3.9286	Inf	Inf
0.2876	4.1770	Inf	Inf
0.3015	4.2863	Inf	Inf
0.3126	4.5475	Inf	Inf
0.3212	4.7176	Inf	Inf
0.3264	5.0300	Inf	Inf
0.3349	5.3251	Inf	Inf
0.3439	5.5477	Inf	Inf
0.3565	5.8363	Inf	Inf
0.3690	6.0584	Inf	Inf
0.3747	6.1575	Inf	Inf
0.3850	6.4941	Inf	Inf
0.3986	6.8532	Inf	Inf
0.4087	7.2032	Inf	Inf
0.4368	7.6145	Inf	Inf
0.4646	7.8164	Inf	Inf
0.4819	7.9400	Inf	Inf
0.4992	8.0393	Inf	Inf
0.5192	8.4167	Inf	Inf
0.5391	8.5152	Inf	Inf
0.5661	8.8931	Inf	Inf
0.6040	9.0505	Inf	Inf
0.6660	9.1473	Inf	Inf
0.6944	9.4308	Inf	Inf
0.7247	9.2817	Inf	Inf
0.7577	9.3819	Inf	Inf
0.7771	9.5512	Inf	Inf
0.8075	9.6807	Inf	Inf
0.8561	9.5778	Inf	Inf
0.8793	9.6805	Inf	Inf
0.9143	10.0854	Inf	Inf
1.0150	10.0890	Inf	Inf
1.1156	10.1574	Inf	Inf
1.2158	10.1390	Inf	Inf
1.2374	10.0248	Inf	Inf
1.2614	9.6547	Inf	Inf
1.2661	9.4211	Inf	Inf
1.2840	9.3886	Inf	Inf
1.2854	9.2880	Inf	Inf
1.3094	10.2638	Inf	Inf
1.4094	10.2566	Inf	Inf
1.5032	10.1499	Inf	Inf
1.5291	10.0471	Inf	Inf
1.6288	9.9011	Inf	Inf
1.6832	10.0015	Inf	Inf
1.7615	9.8889	Inf	Inf
1.7881	9.7792	Inf	Inf
1.8136	9.6702	Inf	Inf
1.8902	9.5641	Inf	Inf
1.9896	9.5350	Inf	Inf
2.0434	9.4257	Inf	Inf
2.0742	9.5270	Inf	Inf
2.1558	9.4152	Inf	Inf
2.1664	9.1831	Inf	Inf
2.1835	8.7592	Inf	Inf
2.2055	8.8645	Inf	Inf
2.2544	9.5148	Inf	Inf
2.3055	9.3408	Inf	Inf
2.3470	8.7806	Inf	Inf
2.3596	8.5025	Inf	Inf
2.3684	8.3407	Inf	Inf
2.3852	8.4355	Inf	Inf
2.3957	8.7365	Inf	Inf
2.4485	9.2680	Inf	Inf
2.5381	9.1601	Inf	Inf
2.6385	9.1257	Inf	Inf
2.6920	9.0230	Inf	Inf
2.7346	8.9176	Inf	Inf
2.7907	8.8164	Inf	Inf
2.8310	8.6154	Inf	Inf
2.8531	8.2805	Inf	Inf
2.8565	8.0594	Inf	Inf
2.8607	7.9388	Inf	Inf
2.8654	7.8373	Inf	Inf
2.8698	7.7366	Inf	Inf
2.8748	7.6356	Inf	Inf
2.8809	7.5340	Inf	Inf
2.8918	7.6341	Inf	Inf
2.8943	7.7367	Inf	Inf
2.8973	7.8338	Inf	Inf
2.9343	8.8289	Inf	Inf
2.9955	9.1754	Inf	Inf
3.0368	9.0524	Inf	Inf
3.0722	8.9510	Inf	Inf
3.1718	8.8798	Inf	Inf
3.2553	8.7727	Inf	Inf
3.2691	8.6272	Inf	Inf
3.3064	7.9629	Inf	Inf
3.3208	7.7244	Inf	Inf
3.3355	7.8254	Inf	Inf
3.3371	7.9155	Inf	Inf
3.4092	8.5932	Inf	Inf
3.4369	8.0616	Inf	Inf
3.4629	7.9543	Inf	Inf
3.4801	8.0622	Inf	Inf
3.5651	8.6334	Inf	Inf
3.6289	8.5301	Inf	Inf
3.6675	8.3836	Inf	Inf
3.7177	8.2750	Inf	Inf
3.7678	8.1145	Inf	Inf
3.8361	8.0077	Inf	Inf
3.9367	8.0166	Inf	Inf
3.9928	7.9046	Inf	Inf
4.0139	8.0028	Inf	Inf
4.1131	8.0173	Inf	Inf
4.1273	7.9083	Inf	Inf
4.1350	7.7971	Inf	Inf
4.1488	7.4375	Inf	Inf
4.1704	7.5447	Inf	Inf
4.1853	7.7778	Inf	Inf
4.2491	8.1433	Inf	Inf
4.3275	8.0325	Inf	Inf
4.3356	7.9223	Inf	Inf
4.3615	7.4404	Inf	Inf
4.3749	7.2118	Inf	Inf
4.3906	7.3044	Inf	Inf
4.4288	7.8345	Inf	Inf
4.5047	7.7270	Inf	Inf
4.5105	7.5492	Inf	Inf
4.5361	7.4453	Inf	Inf
4.5613	7.5444	Inf	Inf
4.5732	7.6815	Inf	Inf
4.6166	7.8621	Inf	Inf
4.6735	8.0362	Inf	Inf
4.7744	8.0322	Inf	Inf
4.8012	7.9261	Inf	Inf
4.8107	7.7100	Inf	Inf
4.8218	7.3075	Inf	Inf
4.8458	7.4016	Inf	Inf
4.9165	8.2126	Inf	Inf
5.0070	8.1081	Inf	Inf
5.0605	8.0057	Inf	Inf
5.1098	7.8894	Inf	Inf
5.2102	7.8509	Inf	Inf
5.2840	7.7424	Inf	Inf
5.2966	7.4243	Inf	Inf
5.3057	7.1747	Inf	Inf
5.3134	7.0338	Inf	Inf
